二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
上改容谢之	武宗脸色一变，承认错误
少逸等出，上谓宰相曰：本置谏官使之论事，朕欲时时闻之	高少逸等人退出后，武宗对宰相说：朝廷设置谏官的本意，就是让他们直言朝政得失，朕愿常常听到
宰相皆贺	宰相齐声祝贺
己未，以少逸为给事中，朗为左谏议大夫	己未，武帝擢拔高少逸为给事中，郑郎为左谏议大夫
刘沔奏移军云州	河东节度使刘沔奏报已率军移到云州
李忠顺奏击回鹘，破之	振武节度使李忠顺奏报率军击败回鹘
丙戌，立皇子峄为德王，嵯为昌王	丙戌，唐武宗立儿子李峄为德王，李嵯为昌王
二月，庚申朔，日有食之	二月，庚申朔，出现日食
诏停归义军，以其士卒分隶诸道为骑兵，优给粮赐	唐武宗下诏，停罢归义军，归义军的回鹘士卒分别隶属各道为骑兵，从优供给衣粮
中书侍郎、同平章事崔珙罢为右仆射	中书侍郎、同平章事崔珙被罢免宰相职务，担任右仆射
庚寅，太和公主至京师，改封安定大长公主；诏宰相帅百官迎谒于章敬寺前	庚寅，太和公主抵达京城，唐武宗改封公主为安定大长公主，下诏命宰相率领百官在章敬寺的前面迎接拜见公主
公主诣光顺门，去盛服，脱簪珥，谢回鹘负恩、和蕃无状之罪	公主到光顺门时，脱去华丽的服装，卸掉头上的首饰，对于回鹘辜负国家的恩德以及自己和亲未达到预期目的表示谢罪
上遣中使慰谕，然后入宫	武宗派宦官慰问公主，然后公主回到宫中
阳安等七公主不来慰问安定公主，各罚俸物及封绢	阳安等七位公主没有出宫来慰问安定大长公主，被罚俸禄以及朝廷每年供给他们的丝绢
赐魏博节度使何重顺名弘敬	唐武宗赐魏博节度使何重顺名叫何弘敬
夏，四月，辛未，李德裕乞退就闲局，上曰：卿每辞位，使我旬日不得所	夏季，四月，辛未，宰相李德裕乞请辞职，退居闲散的职位
今大事皆未就，卿岂得求去	唐武宗说：你每次提出辞职，都让我十来天心神不宁，现在，朝廷的大政方针还都没有安排就序，你怎么能辞职呢
上虽外尊宠仇士良，内实忌恶之	唐武宗虽然在外表上尊重和宠遇左神策军护军中尉仇士良，心中其实非常忌恨厌恶他
士良颇觉之，遂以老病求散秩	仇士良也逐渐感觉到了，于是，以年老多病为由，请求辞职担任散官
诏以左卫上将军兼内侍监、知省事	武宗因此下诏，任命他为左卫上将军兼内侍监，主持内侍省的事宜
五月，李德裕言太子宾客、分司李宗闵与刘从谏交通，不宜置之东都	五月，李德裕对武宗说，太子宾客、分司东都李宗闵曾和刘从谏交结，不宜再让他继续留在东都，以免妨碍讨代昭义的军事行动
戊戌，以宗闵为湖州刺史	戊戌，武宗任命李宗闵为湖州刺史
河阳节度使王茂元以步骑三千守万善；河东节度使刘沔步骑二千守芒东关，步兵一千五百军榆社；成德节度使王元逵以步骑三千守临，掠尧山；河中节度使陈夷行以步骑一千守翼城，步兵五百益冀氏	河阳节度使王茂元命三千步兵和骑兵防守万善镇；河东节度使刘沔命二千步兵和骑兵防守芒车关，一千五百步兵驻屯于榆社县；成德节度使王元逵命三千步兵和骑兵防守临，进而掠夺昭义的尧山；河中节度使陈夷命一千步兵和骑兵屯守翼城，五百步兵增援冀氏县
辛丑，制削夺刘从谏及子稹官爵，以元逵为泽潞北面招讨使，何弘敬为南面招讨使，与夷行、刘沔、茂元合力攻讨	辛丑，武宗下制令，削除刘从谏和他的侄子刘稹的官爵，任命王元逵为昭义北面招讨使，何弘敬为南面招讨使，与陈夷行、刘沔、王茂元共同出兵，讨伐刘稹
以武宁节度使李彦佐为晋绛行营诸军节度招讨使	唐武宗任命武宁节度使李彦佐为晋绛行营诸军节度招讨使
刘沔自代州还太原	河东节度使刘沔从代州返回太原
筑望仙观于禁中	唐武宗下令，在宫中修建望仙观
秋，七月，以山南东道节度使卢钧为昭义节度招抚使	秋季，七月，唐武宗任命山南东道节度使卢钧为昭义节度使
朝廷以钧在襄阳宽厚有惠政，得众心，故使领昭义以招怀之	朝廷认为卢钧在山南东道宽厚大度，很有政绩，得到人们的拥护，所以任命他担任昭义节度使，以便招抚昭义的将士、官吏和百姓
上遣刑部侍郎兼御史中丞李回宣慰河北三镇，令幽州乘秋早平回鹘，镇、魏早平泽潞	唐武宗命刑部侍郎兼御史中丞李回出使安抚河北的幽州、成德、魏博三个藩镇，令幽州乘秋季早日平定回鹘余部；令成德和魏博早日进兵平定昭义的叛乱
回，太祖之八世孙也	李回是唐太祖李虎的第八代子孙
安南经略使武浑役将士治城，将士作乱，烧城楼，劫府库	安南经略使武浑役使将士修筑城池，将士不满而作乱，焚烧城楼，劫夺仓库
浑奔广州，临军段士则抚安乱众	武浑逃奔广州，监军段士则安抚作乱的将士，使他们安定下来
春，正月，乙酉朔，杨弁帅其众剽黥城市，杀都头梁季叶，李石奔汾州	春季，正月，乙酉朔，杨弁率士卒剽掠太原集市
弁据军府，释贾群之囚，使其侄与之俱诣刘稹，约为兄弟	杀死都头梁季叶，李石逃奔汾州
稹大喜	杨弁占据河东节度使府衙门，释放昭义的使者贾群，派自己的侄子和贾群一起前往昭义去见刘稹，和刘稹结拜为兄弟，刘稹大喜
石会关守将杨珍闻太原乱，复以关降于稹	石会关守将杨珍得知太原发生兵乱，又以石会关投降刘稹
二月，甲寅朔，日有食之	二月，甲寅朔，出现日食
丁巳，以李石为太子少傅、分司，以河中节度使崔元式为河东节度使，石雄为河中节度使	丁巳，唐武宗任命李石为太子少傅、分司东都；任命河中节度使崔元式为河东节度使，石雄为河中节度使
元式，元略之弟也	崔元式是崔元略的弟弟
己未，石雄拔良马等三寨一堡	己未，石雄攻拔昭义的良马等三个营寨，一个城堡
辛酉，太原献杨弁及其党五十四人，皆斩于狗脊岭	辛酉，太原把杨弁和他的党羽五十四人押送到京城，奉献朝廷，全部被斩首于京城东市的狗脊岭
王逢击昭义将康良，败之	王逢出兵打败昭义将康良
良弃石会关，退屯鼓腰岭	康良丢弃石会关，退兵屯守腰鼓岭
以道士赵归真为右街道门教授先生	唐武宗任命道士赵归真为右街道门教授先生
夏，四月，王宰进攻泽州	夏季，四月，王宰出兵进攻昭义的泽州
李德裕以州县佐官太冗，奏令吏部郎中柳仲郢裁减	宰相李德裕鉴于州县的僚佐官员太多，奏请命吏部郎中柳仲郢裁减
六月，仲郢奏减一千二百一十四员	六月，柳仲郢奏报减少州县僚佐官员一千二百一十四人
仲郢，公绰之子也	柳仲郢是柳公绰的儿子
宦官有发仇士良宿恶，于其家得兵仗数千	宦官中有人揭发仇士良过去的罪恶，朝廷派人在仇士良家中检查，发现几千件兵器
诏削其官爵，籍没家赀	于是，武宗下诏，削除仇士良的官爵，没收所有家产
闰月，壬戌，以中书侍郎、同平章事李绅同平章事，充淮南节度使	闰七月，壬戌，唐武宗任命中书侍郎、同平章事李绅挂同平章事衔，出任淮南节度使
李德裕奏：镇州奏事官高迪密陈意见二事：其一，以为贼中好为偷兵术，潜抽诸处兵聚于一处，官军多就迫逐，以致失利；经一两月，又偷兵诣他处	宰相李德裕上奏唐武宗：镇州派遣来朝廷的奏事官高迪，秘密地向朝廷陈述两条意见：第一，泽潞叛贼喜好用偷兵术对付官军，他们暗中抽调诸处兵马，聚集于一处，官军往往就其聚兵之处攻击追逐，以致大都失利；经过一两个月之后，叛贼又偷偷地移兵聚于他处
官军须知此情，自非来攻城栅，慎勿与战	官军必须知道这些情况，如果不是贼众主动来攻掠城堡栅寨，就应谨慎，按兵不动，不与贼军接战
彼淹留不过三日，须散归旧屯，如此数四空归，自然丧气	贼军在聚屯处停留不会超过三天，就会分散回归其旧屯居地，这样往返到多次，不战而空归，自然要影响军心，士兵垂头丧气
官军密遣谍者高其抽兵之处，乘虚袭之，无不捷矣	官军则可秘密地派遣间谍，探知贼军调出兵马的地方，乘虚袭击，则没有不取胜告捷的
其二，镇、魏屯兵虽多，终不能分贼势	第二，朝廷派遣的藩镇军队如镇州、魏州兵虽然屯驻很多，但最终不能分叛贼的军势
何则	这是为什么呢
下营不离故处，每三两月一深入，烧掠而去	因为镇、魏诸藩军队扎营没有远离他们原先的驻扎地
贼但固守城栅，城外百姓，贼亦不惜	每三两个月才派军深入敌境一次，而仅仅是大肆烧杀掠夺一番就匆匆离去
宜令进营据其要害，以渐逼之	叛贼只要固守其城栅寨，军队就不会受到什么损失，而对于城外百姓，叛贼当然不加顾惜
若止如今日	朝廷应该命令镇、魏诸藩镇军队深入进兵占据要害之处扎营，逐渐进逼叛贼老巢
贼中殊不以为惧	如果仅仅只是像今天的作法，叛贼当然不会感到畏惧
望诏诸将各使知之	希望皇上将高迪的两条意见用诏书颁布各路讨贼将领，务使周知
九月，诏以泽州隶河阳节度	九月，唐武宗颁下诏书将泽州改由河阳镇节度
丁巳，卢钧入潞州	丁巳，卢钧进入潞州
钧素宽厚爱人，刘稹未平，钧已领昭义节度，襄州士卒在行营者，与潞人战，常对陈扬钧之美	卢钧平素待人宽厚爱护，刘稹还未平定时，卢钧已经领昭义节度使衔，襄州士卒在征讨行营与潞州人作战时，常对阵喊话，宣扬卢钧的美德
及赴镇，入天井关，昭义散卒归之者，钧皆厚抚之，人情大洽，昭义遂安	到卢钧赴镇上任，入天井关，昭义溃散的士卒归镇者，卢钧都善意抚慰，待他们十分厚道，以致上下人情大为融洽，昭义镇于是安定
王羽、贾庠等已为谊所杀，李德裕复下诏称逆贼王涯、贾等已就昭义诛其子孙，宣告中外，识者非之	王羽、贾庠等已经被郭谊所杀，李德裕又以唐武宗的名义下诏宣称：逆贼王涯、贾等人在昭义的子孙已被诛灭，宣告朝野内外，有见识的人对此颇有非议
刘从谏妻裴氏亦赐死；又令昭义降将李丕、高文端、王钊等疏昭义将士与刘稹同恶者，悉诛之，死者甚众	刘从谏的妻子裴氏也被赐死；又命令昭义镇的降将李丕、高文端、王钊等人揭发昭义镇将士中与刘稹共同作恶者，将他们全部诛灭，被杀死的人很多
虞钧疑其枉滥，奏请宽之，不从	卢钧疑虑杀人太多恐有冤枉，怕滥杀了无辜，奏请朝廷宽待他们，朝廷没有听从
李德裕奏：据幽州奏事官言：知回鹘上下离心，可汗欲之安西，其部落言亲戚皆在唐，不如归唐；又与室韦已相失，计其不日来降，或自相残灭	李德裕上奏唐武宗，称：根据幽州奏事官所说，已探知回鹘上下离心，可汗想迁往安西，而其部落声称亲戚都在唐朝，不如归降大唐；加上回鹘与室韦已经失和，估计不几天回鹘将会来投降，或者回鹘内部将自相残杀，自我毁灭
望遣识事中使赐重武诏，谕以镇、魏已平昭义，惟回鹘未灭，仲武犹带北面招讨使，宜早思立功	希望陛下派遣识事知情的宦官使者往幽州赐给张仲武诏书，告谕说镇州、魏州藩镇军队已协助朝廷讨平昭义的叛乱，现在只有回鹘还未消灭，而张仲武仍然带有北面招讨使的职衔，应该尽早想着立功报国
李德裕怨太子太傅·东都留守牛僧孺、湖州刺史李宗闵，言于上曰：刘从谏据上党十年，太和中入朝，僧孺、宗闵执政，不留之，加宰相纵去，以成今日之患，竭天下力乃能取之，皆二人之罪也	李德裕怨恨太子太傅、东都留守牛僧孺和湖州刺史李宗闵，他对唐武宗上言说：刘从谏占据上党有十年，文宗太和年间曾入朝，当时牛僧孺、李宗闵执政，不扣留刘从谏，反而给他加上宰相头衔，放纵他归还上党，以致形成今天的祸患，竭尽天下人力物力才将上党攻取，这都是牛僧孺、李宗闵二人的罪过
德裕又使人于潞州求僧孺、宗闵与纵谏交通书疏，无所得，乃令孔目官郑庆言从谏每得僧孺、宗闵书疏，皆自焚毁	李德裕又派人到潞州搜求牛僧孺、李宗闵与刘从谏相互交往的书信，却一无所得，于是命令孔目官郑庆上言，称刘从谏每次得到牛僧孺、李宗闵的书信，都要自己将信烧毁
诏追庆下御史台按问，中丞李回、知杂郑亚以为信然	唐武宗下诏催促郑庆往御史台进行查问，御史中丞李回、御史台侍御史知杂事郑亚查问后认为情况属实
河南少尹吕述与德裕书，言稹破报至，僧孺出声叹恨	河南少尹吕述也给李德裕写信，声称刘稹被剿灭的捷报传到东都洛阳时，牛僧孺发出叹惜声，有怨恨之言
德裕奏述书，上大怒，以僧孺为太子少保、分司，宗闵为漳州刺史；戊子，再贬僧孺汀州刺史，宗闵漳州长史	唐武宗得知后勃然大怒，将牛僧孺降为太子少保、分司东都，李宗闵降为漳州刺史；十月，戊子，再将牛僧孺贬为汀州刺史，将李宗闵贬为漳州长史
上幸校猎	唐武宗到县进行游猎
十一月，复贬牛僧孺循州长史，宗闵长流封州	十一月，唐朝廷再贬牛僧孺为循州长史，李宗闵长期流放于封州
十二月，以忠武节度使王宰为河东节度使，河中节度使石雄为河阳节度使	十二月，唐武宗任命忠武节度使王宰为河东节度使，任命河中节度使石雄为河阳节度使
上幸云阳校猎	唐武宗到云阳进行游猎
	五年
春，正月，己酉朔，群臣上尊号曰仁圣文武章天成功神德明道大孝皇帝，尊号始无道字，中旨令加之	春季，正月，己酉朔，满朝大臣给唐武宗上尊号，称仁圣文武章天成功神德明道大孝皇帝，尊号起初并没有道字，唐武宗崇信道教，中间下旨命令群臣加上道字
庚戌，上谒太庙；辛亥，祀昊天上帝，赦天下	庚戌，唐武宗又祭祀昊天上帝，宣诏大赦天下
筑望仙台于南郊	在南郊筑望仙台
庚申，义安太后王氏崩	庚申，义安太后王氏驾崩
以秘书监卢弘宣为义武节度使	朝廷任秘书监卢弘宣为义武节度使
弘宣性宽厚而难犯，为政简易，其下便之	卢弘宣性情宽厚，而态度严肃，人们不敢冒犯，为政比较简易，其部下称便
河北之法，军中偶语者斩；弘宣至，除其法	按河北的法规，军队中相对私语者就要斩首；卢弘宣来到义武镇，废除这种残酷的法规
诏赐粟三十万斛，在飞狐西，计运致之费逾于粟价，弘宣遣吏守之	唐武宗下诏赐给义武粟米三十万斛，存放在飞狐之西，从飞狐将这些粟米运至义武镇，所需费用超过粟米本身的价值，卢弘宣于是派遣官吏至飞狐仓加以看守
会春旱，弘宣命军民随意自往取之，粟皆入境，约秋稔偿之	恰值春季大旱，卢弘宣命令义武军民自己随意往飞狐仓领取粟米，使粟米全部运入义武辖境，卢弘宣又向得到粟米的军民相约，待到秋天粮食丰收时再向官府偿还
时成德、魏博皆饥，独易定之境无害	当时成德和魏博两镇也都因旱灾发生饥馑，唯独义武节度使卢弘宣所辖的易定境内没有出现饥馑灾害
淮南节度使李绅按江都令吴湘盗用程粮钱，强娶所部百姓颜悦女，估其资装为赃，罪当死	淮南节度使李绅按查所部江都县令吴湘，说他擅自盗用官家因公出差用的程粮钱，并强横逼娶管下百姓颜悦的女儿，将他家的资产衣装估价作为赃款，论其罪当处死刑
湘，武陵之兄子也，李德裕素恶武陵	吴湘是吴武陵哥哥的儿子，李德裕平素就厌恶吴武陵
议者多言其冤，谏官请覆按，诏遣监察御史崔元藻、李稠覆之	议论此案的人都声言吴湘冤枉，谏官于是向唐武宗请求重新审理，唐武宗颁下诏书，派遣监察御史崔元藻、李稠复审此案
还言：湘盗程粮钱有实；颜悦本衢州人，尝为青州牙推，妻亦士族，与前狱异	崔元藻、李稠经过复查，回奏朝廷说：吴湘偷盗税粮钱实有其事；而颜悦这个人本是衢州人，曾经任青州牙推官，他的妻子也是士族，情况与初审论罪事实有异
德裕以为无与夺，二月，贬元藻端州司户，稠汀州司户	李德裕认为崔元藻和李稠论事模棱两可，没有给吴湘定重罪论死刑，二月，朝廷将崔元藻贬为端州司户，李稠贬为汀州司户
不复更推，亦不付法司详断，即如绅奏，处湘死	对吴湘案不再复审，也不交付司法官署依法详细判罪论刑，即按照李绅所奏，将吴湘处死
谏议大夫柳仲郢、敬晦皆上疏争之，不纳	谏议大夫柳仲郢、敬晦都上疏论争，均不被采纳
稠，晋江人；晦，昕之弟也	李稠是晋江人；敬晦是敬昕的弟弟
李德裕以柳仲郢为京兆尹；素与牛僧孺善，谢德裕曰：不意太尉恩奖及此，仰报厚德，敢不如奇章公门馆	李德裕提拔柳仲郢任京兆尹；柳仲郢平素与牛僧孺相友善，于是向李德裕道谢说：想不到李太尉对我如此恩奖，为报答您的厚德，我怎敢不再去奇章公牛僧孺的门馆呢
德裕不以为嫌	李德裕对这些话并不以为嫌
夏，四月，壬寅，以陕虢观察使李拭为册黠戛斯可汗使	夏季，四月，壬寅，朝廷任命陕虢观察使李拭为册封黠戛斯可汗使
五月，壬戌，葬恭僖皇后于光陵柏城之外	五月，壬戌，唐武宗命将唐穆宗恭僖皇后安葬于光陵的柏城之外
门下侍郎、同平章事杜罢为右仆射，中书侍郎、同平章事崔铉罢为户部尚书	门下侍郎、同平章事杜被唐武宗罢相，改任右仆射，中书侍郎、同平章事崔铉也被罢相，改领户部尚书衔
乙丑，以户部侍郎李回为中书侍郎、同平章事，叛户部如故	乙丑，唐武宗任命户部侍郎李回为中书侍郎、同平章事，依旧叛户部
祠部奏括天下寺四千六百，兰若四万，僧尼二十万五百	祠部上奏朝廷，全国有佛教寺院四千六百座，小佛祠四万，僧尼有二十六万五百人
诏册黠戛斯可汗为宗英雄武诚明可汗	唐武宗册封黠戛斯可汗为宗英雄武诚明可汗
秋，七月，丙午朔，日有食之	秋季，七月，丙午朔，出现日食
以山南东道节度使郑肃检校右仆射、同平章事	唐武宗任命山南东道节度使郑肃为检校右仆射、同平章事
诏发昭义骑兵五百、步兵千五百戍振武，节度使卢钧出至裴村饯之；潞卒素骄，惮于远戍，乘醉，回旗入城，闭门大噪，钧奔潞城以避之	唐武宗下诏调发昭义骑兵五百、步兵一千五百人戍守振武，昭义节度使卢钧出城行至裴村为戍卒饯行；潞州士卒素来骄横，害怕出门远戍，乘着酒醉，举旗回到上党城，关闭城门大声喧噪，卢钧逃奔于潞城以躲避军乱
监军王惟直自出晓谕，乱兵击之，伤，旬日而卒	昭义监军王惟直亲自出来晓以大义，对乱军进行劝谕，乱兵竟大打出手，将王惟直击伤，十天后死去
李德裕奏：请诏河东节度使王宰以步骑一千守石会关，三千自仪州路据武安，以断邢、之路；又令河阳节度使石雄引兵守泽州，河中节度使韦恭甫发步骑千人戍晋州	李德裕为此上奏唐武宗说：请皇上下诏命令河东节度使王宰率步、骑兵一千人守石会关，派三千人自仪州的道路去据守武安，以便截断潞州去邢州、州的道路；再命令河阳节度使石雄率领军队驻守泽州，河中节度使韦恭甫调发步、骑兵一千人戍守晋州
如此，贼必无能为	这样的话，叛贼必定无所作为
皆从之	唐武宗接受了这些建议
八月，李德裕等奏：东都九庙神主二十六，今贮于太微宫小屋，请以废寺材复修太庙	八月，李德裕等人向唐武宗奏言：东都洛阳九庙有高祖以来神主二十六尊，现在贮藏在太微宫小屋子里，请求用拆毁佛寺所得的木材来修复太庙
昭义乱兵奉都将李文矩为帅；文矩不从，乱兵亦不敢害	]昭义乱兵推举都将李文矩为帅；李文矩不从命，乱兵也不敢加害
文矩稍以祸福谕之，乱兵渐听命，乃遣人谢卢钧于潞城	李文矩趁机对乱军进行一些劝谕，晓以祸福，乱兵渐渐听命，于是派人到潞城向卢钧谢罪
钧还入上党，复遣之戍振武；行一驿，乃潜选兵追之；明日，及于太平驿，尽杀之	卢钧回到上党城，再派遣这些士卒往振武镇去戍守；走过一个驿程，卢钧暗中挑选兵追赶这些士卒，第二天，至太平驿追及，将曾参与叛乱的士兵全部杀死
具以状闻，且请罢河东、河阳兵在境上者，从之	卢钧又将情况写成状文向朝廷汇报，并且请求罢除河东、河阳在昭义边境防驻守的军队，朝廷一概听从
九月，诏修东都太庙	九月，唐武宗下诏修复东都太庙
王才人宠冠后庭，上欲立以为后；李德裕以才人寒族，且无子，恐不厌天下之望，乃止	唐武宗的王才人在后宫最得武宗喜爱，唐武宗想立王才人为皇后；李德裕认为王才人出身寒族，而且没有生儿子，恐怕不合天下人的愿望，因而上言劝阻，唐武宗于是放弃了这一想法
以衡山道士刘玄静为银青光禄大夫、崇玄馆学士，赐号广成先生，为之治崇玄馆，置吏铸印	唐武宗任命衡山道士刘玄静为银青光禄大夫、崇玄馆学士，赐号广成先生，为他建崇玄馆，并署置吏员，铸有印章
玄静固辞，乞还山，许之	刘玄静坚决推辞，乞求让他回衡山继续修道，唐武宗同意了他的请求
上自秋冬以来，觉有疾，而道士以为换骨	唐武宗自从秋冬之际以来，感觉患有疾病，而道士却认为是换骨
上秘其事，外人但怪上希复游猎，宰相奏事者亦不敢久留	唐武宗将疾病隐瞒起来，宫禁之外的朝臣只是奇怪唐武宗很少出来游猎，宰相入朝奏事也不敢停留太久
诏罢来年正旦朝会	武宗又下诏书停罢明年元旦的大朝会
吐蕃论恐热复纠合诸部击尚婢婢，婢婢遣结藏将兵五千拒之，恐热大败，与数十骑遁去	吐蕃的论恐热又纠合诸部落攻击吐蕃宰相尚婢婢，尚婢婢派遣结藏率领五千兵进行抵抗，论恐热被打得大败，只与数十个骑兵逃走
婢婢传檄河、湟，数恐热残虐之罪，曰：汝辈本唐人，吐蕃无主，则相与归唐，毋为恐热所猎如狐兔也	尚婢婢传布檄文于河、湟地区，历数论恐热的残忍暴虐罪行，说：你们本来都是大唐的臣民，吐蕃没有了国王，你们应该相互联结归奉唐朝，不应该被论恐热所控制，象狐狸抓免子一样
于是诸部从恐热者稍稍引去	于是河、湟地区汉人诸部民跟从论恐热者，逐渐离他而去
是岁，天下户四百九十五万五千一百五十一	这一年，全国共有四百九十五万五千一百五十一户
春，二月，庚辰，以夏州节度使米暨为东北道招讨党项使	春季，二月，庚辰，唐武宗任命夏州节度使米暨为东北道招讨党项使
尊母郑氏为皇太后	唐宣宗尊自己的生母郑氏为皇太后
壬申，以门下侍郎、同平章政事李德裕同平章事，充荆南节度使	壬申，唐宣宗下令调门下侍郎、同平章政事李德裕仍带平章事衔，出任荆南节度使
德裕秉权日久，位重有功，众不谓其遽罢，闻之莫不惊骇	李德裕在朝掌握权柄很久，位望崇重，立有大功，众朝官想不到他突然被罢免，消息传来，百官无不感到惊骇
甲戌，贬工部尚书、判盐铁转运使薛元赏为忠州刺史，弟京兆少尹、权知府事元龟为崖州司户，皆德裕之党也	甲戌，唐宣宗又下令贬工部尚书、判盐铁转运使薛元赏为忠州刺史，他的弟弟京兆少尹、权知府事薛元龟贬为崖州司户，因为他们都是李德裕的党羽
杖杀道士赵归真等数人，流罗浮山人轩辕集于岭南	唐宣宗下令用棍棒打杀道士赵归真等数人，将罗浮山人轩辕集流放到岭南
五月，乙巳，赦天下	五月，乙巳，宣告大赦天下
上京两街先听留两寺外，更各增置八寺；僧、尼依前隶功德使，不隶主客，所度僧、尼仍令祠部给牒	又宣告上京长安两街除以前留下的两座佛教寺庙外，再各增置八座寺庙；佛教僧侣、尼姑依照以前的规定隶属于左、右街功德使，不隶属于尚书省礼部主客郎中，这些寺庙所度的僧侣、尼姑都可由祠部发给度牒，准许他们出家
以翰林学士、兵部侍郎白敏中同平章事	唐宣宗任命翰林学士、兵部侍郎白敏中为同平章事
辛酉，立皇子温为郓王，为雍王，泾为雅王，滋为夔王，沂为庆王	辛酉，唐宣宗立皇子李温为郓王，李为雍王，李泾为雅王，李滋为夔王，李沂为庆王
六月，礼仪使奏请复代宗神主于太庙，以敬宗、文宗、武宗同为一代，于庙东增置两室，为九代十一室	六月，礼仪使向唐宣宗上奏称：请陛下恢复唐代宗的神主像于太庙，由于唐敬宗、唐文宗、唐武宗为同一代，都是唐穆宗的儿子，所以可于太庙之东增置两个室，共为九代十一室神主像
从之	唐宣宗表示同意
秋，七月，壬寅，淮南节度使李绅薨	秋季，七月，壬寅，淮南节度使李绅去世
八月，壬申，葬至道昭肃孝皇帝于端陵，庙号武宗	八月，壬申，唐宣宗及朝臣将至道昭肃孝皇帝李炎葬于端陵，庙号为武宗
九月，以荆南节度使李德裕为东都留守，解平章事；以中书侍郎、同平章事郑肃同平章事、充荆南节度使	九月，唐宣宗任荆南节度使李德裕为东都留守，解除他平章事的官衔；加中书侍郎、同平章事郑肃同平章事衔，充任荆南节度使
以兵部侍郎、判度支卢商为中书侍郎、同平章事	唐宣宗任命兵部侍郎、判度支卢商为中书侍郎、同平章事
商，翰之族孙也	卢商是卢翰的族孙
册黠戛斯可汗使者以国丧未行，或以为僻远小国，不足与之抗衡；回鹘未平，不应遽有建置	唐武宗派出册封黠戛斯可汗的使者李拭等，因为国丧而未前行，有人认为黠戛斯是僻远小国，不足以与大国抗衡；回鹘王国的侵扰并未平定，不应该马上有所建置
诏百官集议，事遂寝	唐宣宗于是下诏请百官来集体议论，册封黠戛斯可汗的事也就放下来了
蛮寇安南，经略使裴元裕帅邻道兵讨之	蛮族南诏入侵安南，唐安南经略使裴元裕率领相邻几道的军队攻讨蛮族
以右常侍李景让为浙西观察使	唐宣宗任命右散骑常侍李景让为浙西观察使
冬，十月，礼院奏谛祭祝文于穆、敬、文、武四室，但称嗣皇帝臣某昭告，从之	冬季，十月，礼院向唐宣宗奏称，在祭的祝文上，对于唐穆宗及其儿子唐敬宗、唐文宗、唐武宗四室，因唐宣宗辈份并不比他们低，所以祝文上只是自称嗣皇帝臣某昭告，唐宣宗表示同意
甲申，上受三洞法于衡山道士刘玄静	甲申，，唐宣宗接受道教三洞法于衡山道士刘玄静
十二月，戊辰朔，日有食之	十二月，戊辰朔出现日食
	宣宗元圣至明成武献文睿智章仁神聪懿道大孝皇帝上大中元年
春，正月，甲寅，上祀圜丘，赦天下，改元	春季，正月，甲寅，唐宣宗举行祀圜丘大礼，大赦天下，改年号为大中
二月，加卢龙节度使张仲武同平章事，赏其破回鹘也	二月，唐宣宗加给卢龙节度使张仲武同平章事的名号，以奖赏他击破回鹘的功劳
癸未，上以旱故，减膳彻乐，出宫女，纵鹰隼，止营缮，命中书侍郎、同平章事卢商与御史中丞封敖疏理京城系囚	癸未，由于旱灾，唐宣宗减少自己的膳食，撤除伎乐，将后宫宫女放回家，将宫廷中养的鹰和鹘放飞天空，并停止经营修缮宫庭，命令中书侍郎、同平章事卢商与御史中丞封敖审查疏理关押在京城监狱中的囚徒
大理卿马植奏称：卢商等务行宽宥，凡抵极法，一切免死	大理卿马植奏告唐宣宗说：卢商等人尊从您的旨意疏理囚徒时，务行宽大原宥，罪囚凡须抵命处极刑的，也一概免死
彼官典犯赃及故杀人，平日大赦所不免，今因疏理而原之，使贪吏无所惩畏，死者衔冤无告，恐非所以消旱灾、致和气也	有些得罪的官是因为贪赃犯罪以及故意杀人，平日就是遇到大赦也不能免罪，今天因为卢商等人的疏理而获得赦免，这样做必定使贪官污吏得不到应有的惩罚，因而更加不怕触犯法律；被无辜杀死的人含冤无告，因为没有人为他们主持公道，这恐怕不是消除旱灾，导致和气的好办法
昔周饥，克殷而年丰；卫旱，讨邢而雨降	过去周朝遇到大饥荒，灭亡暴虐的殷朝而致丰收年；卫国发生旱灾，因攻讨邢国而降下大雨
是则诛罪戮奸，式合天意，雪冤决滞，乃副圣心也	说明诛讨罪犯，杀戮奸邪盗贼，正合天意，使冤杜昭雪，滞留的案情得到判决，我认为这才是符合皇上的圣心呀
乞再加裁定	乞求陛下对疏理囚徒之事再加以裁定
诏两省五品以上议之	唐宣宗于是颁下诏书，请中书、门下两省五品以上的官员集体加以议论
初，李德裕执政，引白敏中为翰林学士；及武宗崩，德裕失势，敏中乘上下之怒，竭力排之，使其党李咸讼德裕罪，德裕由是自东都留守以太子少保、分司	起初，李德裕任宰相执掌朝政时，提拔白敏中为翰林学士；到唐武宗死后，李德裕失势，白敏中于是趁朝廷上下对李德裕一片愤怒，竭力排挤李德裕，指使李德裕的党羽李咸揭发李德裕执政时的罪过，李德裕因此而由东都留守贬为太子少保、分司东都，为闲官
三月，敕：应会昌五年所废寺，有僧能营葺者，听自居之，有司毋得禁止	三月，唐宣宗颁下诏敕：在会昌五年毁佛时所拆毁的寺庙，如果僧人有能力修缮或营造的，听任他自己居处，官府不得禁止
