戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
太宗手书诏令说：五岳超越霄汉，四海延亘大地，藏污纳垢，无损于山高水深	魏徵谏曰：陛下方比德唐、虞，奈何以辰嬴自累
志冲想要以一个匹夫身份使朕解除皇位，朕如果真有罪过，则表明他的正直；如果没有罪过，也只说明他的狂妄	乃止
这如同一尺长的云雾想遮住天空，无亏于天之广大；一寸云彩玷污太阳，无损于太阳的光明	寻以明继元吉后
戊戌，太宗敕令宋州刺史王波利等人征发江南十二州的工匠修造大船几百艘，想要用这些船征伐高丽	冬，十月，庚辰，奴刺啜匐俟友帅其所部万余人内附
癸卯，改封顺阳王李泰为濮王	壬子，上疾愈，三日一视朝
壬子，太宗病痊愈，三天一上朝	十二月，壬申，西赵酋长赵磨帅万余户内附，以其地为明州
戊戌，太宗巡幸骊山温泉	己亥，以中书舍人崔仁师为中书侍郎，参知机务
己亥，任命中书舍人崔仁师为中书侍郎，参知机务	新罗王金善德卒，以善德妹真德为柱国，封乐浪郡王，遣使册命
新罗国王金善德去世，唐朝任命善德的妹妹真德为柱国，封为乐浪郡王，并派使者前去册封	丙午，诏以右武卫大将军薛万彻为青丘道行军大总管，右卫将军裴行方副之，将兵三万余人及楼船战舰自莱州泛海以击高丽
丙午，太宗下诏任命右武卫大将军薛万彻为青丘道行军大总管，右卫将军裴行方为副总管，领兵三万多人以及楼船战舰，从莱州渡海进攻高丽	长孙无忌检校中书令、知尚书·门下省事
长孙无忌代理中书令，掌管尚书省、门下省事宜	戊申，上还宫
中书侍郎崔仁师因有人伏在衙署门前上诉，他并未上奏，被除掉名籍，流放到连州	三月，己丑，分瀚海都督俱罗勃部置烛龙州
甲午，太宗对身边的大臣说：朕年轻时在军中长大，颇能料敌制胜；如今出兵昆丘道，处月、处密二部落以及龟兹执政者羯猎颠、那利每每怀有二心，一定会先被消灭，接着就是布失毕	庚子，隋萧后卒，诏复其位号，谥曰愍；使三品护葬，备卤簿仪卫，送至江都，与炀帝合葬
夏季，四月，丁巳，右武候将军梁建方击败松外蛮	己未，契丹辱纥主曲据帅众内附，以其地置玄州，以曲据为刺史，隶营州都督府
五月，庚子，右卫率长史王玄策进攻帝那伏帝王阿罗那顺，将其打得大败	六月，乙丑，以白别部为居延州
癸酉，特进宋公萧去世，太常寺议定其谥号为德，尚书省议定谥号为隶	上以高丽困弊，议以明年发三十万众，一举灭之，或以为大军东征，须备经岁之粮，非畜乘所能载，宜具舟舰为水运
太宗说：谥号本是标明人的行迹的，应当符合实际，可加谥号为贞褊公	隋末剑南独无寇盗，属者辽东之役，剑南复不预及，其百姓富庶，宜使之造舟舰
萧的儿子萧锐继承其父的食邑爵位，并娶太宗女儿襄城公主为妻	上从之
太宗想要为他营建新的宅第，公主执意辞退，并说：媳妇侍奉公婆，应当早晚都在身边，假如居住在别处，必然会有较多的缺失	秋，七月，遣右领左右府长史强伟于剑南道伐木造舟舰，大者或长百尺，其广半之
太宗于是命令就在萧的原住所为他们营建新居	别遣使行水道，自巫峡抵江、扬，趣莱州
八月，己酉朔，出现日食	丁丑，敕越州都督府及婺、洪等州造海船及双舫千一百艘
丁丑，敕令越州都督府以及婺、洪等州修造海船及双舫船一千一百艘	辛未，遣左领军大将军执失思力出金山道击薛延陀余寇
辛未，派遣左领军大将军执失思力从金山道出兵进攻薛延陀残余势力	九月，庚辰，昆丘道行军大总管阿史那社尔击处月、处密，破之，余众悉降
己丑，新罗向朝廷上奏表称百济进攻其国，攻克十三座城	己亥，以黄门侍郎褚遂良为中书令
春季，正月，辛亥，龟兹国王布失毕及其丞相那利等人被押到了京城，太宗予以责备后将他们放了，任命布失毕为左武卫中郎将	西南徒莫祗等蛮内附，以其地为傍、望、览、丘四州，隶朗州都督府
二月，丙戌，任命左卫将军阿史那贺鲁为瑶池都督	三月，丙辰，置丰州都督府，使燕然都护李素立兼都督
丁丑，任命叠州都督李世为特进、检校洛州刺史、洛阳宫留守	先是，太宗二名，令天下不连言者勿避；至是，始改官名犯先帝讳者
丁酉，礼部尚书许敬宗奏请应毁掉弘农府君庙，请将供奉的神主藏在太庙的西夹室，高宗依准	九月，乙卯，以李为左仆射
九月，乙卯，任命李世为尚书左仆射	冬，十月，以突厥诸部置舍利等五州隶云中都督府，苏农等六州隶定襄都督府
十二月，高宗颁布诏令允许濮王李泰开设府署设置僚属，车马服饰与珍贵膳食等，特加优惠供给	春，正月，辛丑朔，改元
高宗天皇大圣大弘孝皇帝上之上永徽元年	
夏季，五月，壬戌，吐蕃赞普弃宗弄赞去世，他的嫡长子早已死去，便立他的孙子为赞普	六月，高侃击突厥，至阿息山
赞普年幼懦弱，政事都由吐蕃的丞相禄东赞裁决	车鼻可汗召诸部兵皆不赴，与数百骑遁去
禄东赞性情通达严肃，治军有方，吐蕃之所以强盛壮大，威震摄服氐、羌族，都是由于他的谋略	侃帅精骑追至金山，擒之以归，其众皆降
六月，高侃进攻突厥，到达阿息山	初，阿史那社尔虏龟兹王布失毕，立其弟为王
车鼻可汗征召各部兵马都不赴命，无可奈何率领几百名骑兵逃走	唐兵既还，其酋长争立，更相攻击
高侃率领精锐骑兵追到金山，生擒车鼻可汗后返回，其手下兵众纷纷投奔	秋，八月，壬午，诏复以布失毕为龟兹王，遣归国，抚其众
秋季，七月，西突厥沙钵罗可汗进犯庭州，攻陷金岭城以及蒲类县，杀死抢夺几千人	癸巳，诏诸礼官学士议明堂制度，以高祖配五天帝
高宗下诏任命左武候大将军梁建方、右骁卫大将军契何力为弓月道行军总管，右骁卫将军高德逸、右武候将军薛孤吴仁为副总管，征发秦、成、岐、雍府兵力三万人，以及回纥五万骑兵讨伐突厥	太宗配五人帝
癸巳，高宗下诏令各位礼仪官、学士们商议朝廷的明堂制度，将高祖皇帝配享五位天帝，太宗皇帝配享五位人帝	八月，己巳，以于志宁为左仆射，张行成为右仆射，高季辅为侍中；志宁、行成仍同中书门下三品
八月，己巳，任命于志宁为尚书左仆射，张行成为右仆射，高季辅为侍中；于志宁、张行成仍为同中书门下三品	己卯，郎州白水蛮反，寇麻州，遣左领军将军赵孝祖等发兵讨之
冬季，十一月，辛酉，高宗到南郊祭祀	癸酉，诏：自今京官及外州有献鹰隼及犬马者，罪之
癸酉，高宗颁布诏令：今后朝中官员及外州有进献鹰鹘及狗马者，一律定罪	戊寅，特浪羌酋董悉奉求、辟惠羌酋卜檐莫各帅种落万余户诣茂州内附
戊寅，特浪羌族首领董悉奉求、辟惠羌族首领卜檐莫各自率领本部落一万多户到茂州归附唐朝	窦州、义州蛮酋李宝诚等反，桂州都督刘伯英讨平之
十二月，壬子，处月部落的朱邪孤注杀死唐朝的招慰使单道惠，与突厥阿史那贺鲁相勾结	是岁，百济遣使入贡，上戒之，使勿与新罗、高丽相攻，不然，吾将发兵讨汝矣
这一年，百济国派使者进献贡品，高宗告诫来使，让百济不要与新罗、高丽相互攻伐，不然的话，我大唐将要征发大军讨伐你们	春，正月，己未朔，吐谷浑、新罗、高丽、百济并遣使入贡
三年	
己巳，任命同州刺史褚遂良为吏部尚书、同中书门下三品	丙子，以飨太庙；丁亥，飨先农，躬耕藉田
九月，任命代理中书侍郎来济为同中书门下三品	冬，十一月，庚寅，弘化长公主自吐谷浑来朝
冬季，十一月，庚寅，弘化长公主从吐谷浑回来朝见	癸巳，濮王泰薨于均州
癸丑，任命兵部尚书崔敦礼为侍中	十二月，庚子，侍中宪公高季辅薨
十二月，庚子，侍中宪公高季辅去世	是岁，西突厥乙毗咄陆可汗卒，其子颉达度设号真珠叶护，始与沙钵罗可汗有隙，与五弩失毕共击沙钵罗，破之，斩首千余级
这一年，西突厥乙毗咄陆可汗死，他的儿子颉达度设自号真珠叶护，开始与沙钵罗可汗有隔阂，与五弩失毕联合进攻沙钵罗，大败沙钵罗，杀死一千多人	春，正月，壬戌，羌酋冻就内附，以其地置剑州
五年	
春季，正月，壬戌，羌族首领冻就归附朝廷，在其所在地设置剑州	三月，戊午，上行幸万年宫
三月，戊午，高宗行幸万年宫	庚申，加赠武德功臣屈突通等十三人官
庚申，追赠武德朝功臣屈突通等十三人的官爵	乙丑，上幸凤泉汤；乙巳，还万年宫
壬辰，新罗女王金真德去世，高宗下诏立她的弟弟金春秋为新罗国王	六月，丙午，恒州大水，呼沱溢，漂溺五千三百家
六月，丙午，恒州发大水，呼沱河水涨满，淹没五千三百家	中书令柳以王皇后宠衰，内不自安，请解政事；癸亥，罢为吏部尚书
中书令柳因为王皇后失宠，内心很不安稳，请求解除相职；癸亥，罢黜柳中书令，改任吏部尚书	秋，七月，丁酉，车驾至京师
秋季，七月，丁酉，高宗车驾回到京城	戊戌，上谓五品以上曰：顷在先帝左右，见五品以上论事，或仗下面陈，或退上封事，终日不绝；岂今日独无事邪，何公等皆不言也
是岁大稔，洛州粟米斗两钱半，粳米斗十一钱	这一年大丰收，洛州粟米一斗才值两钱半，粳米一斗十一钱
王皇后、萧淑妃与武昭仪更相谮诉，上不信后、淑妃之语，独信昭仪	王皇后、萧淑妃与武昭仪之间相互诬告诽谤，高宗不相信王后、萧妃的话，惟独信任武昭仪
后不能曲事上左右，母魏国夫人柳氏及舅中书令柳入见六宫，又不为礼	王皇后不会曲意事奉高宗身边的人，她的母亲魏国夫人柳氏及舅舅中书令柳进见六宫妃嫔，又不讲礼节
武昭仪伺后所不敬者，必倾心与相结，所得赏赐分与之	武昭仪观察到皇后讨厌的人，便与之倾心相交，所得到的赏赐也要分给她们
由是后及淑妃动静，昭仪必知之，皆以闻于上	因此王皇后与萧妃的一举一动，武氏都知道，并且都告诉给高宗
春，正月，壬申朔，上谒昭陵；甲戌，还宫	春季，正月，壬申朔，回到宫中
己丑，州道行军总管曹继叔破胡丛、显养、车鲁等蛮于斜山，拔十余城	己丑，州道行军总管曹继叔在斜山一带打败胡丛、显养、车鲁等蛮族，攻克十余座城
庚寅，立皇子弘为代王，贤为潞王	庚寅，立皇子李弘为代王，李贤为潞王
高丽与百济、连兵，侵新罗北境，取三十三城；新罗王春秋遣使求援	高丽与百济、合兵一处，侵犯新罗北部边境，攻取三十三座城；新罗国王金春秋派使者到唐朝请求援助
二月，乙丑，遣营州都督程名振、左卫中郎将苏定方发兵击高丽	二月，乙丑，唐朝派营州都督程名振、左卫中郎将苏定方征发军队进攻高丽
夏，五月，壬午，名振等渡辽水，高丽见其兵少，开门渡贵端水逆战，名振等奋击，大破之，杀获千余人，焚其外郭及村落而还	夏季，五月，壬午，程名振等人渡过辽水，高丽看见唐军兵力很少，便大开城门渡过贵端水迎战，名振等人奋勇出击，大败高丽兵，杀死并俘虏一千多人，焚烧其外城及村庄，而后返回
癸未，以右屯卫大将军程知节为葱山道行军大总管，以讨西突厥沙钵罗可汗	癸未，任命右屯卫大将军程知节为葱山道行军大总管，讨伐西突厥沙钵罗可汗
壬辰，以韩瑗为侍中，来济为中书令	壬辰，任命韩瑗为侍中，来济为中书令
六月，武昭仪诬王后其母魏国夫人柳氏为厌胜，敕禁后母柳氏不得入宫	六月，武昭仪诬陷王皇后和她的母亲魏国夫人柳氏求巫施厌胜术诅咒昭仪，高宗敕令禁止皇后母亲柳氏进入宫内
秋，七月，戊寅，贬吏部尚书柳为遂州刺史	秋季，七月，戊寅，将吏部尚书柳贬为遂州刺史
行至扶风，岐州长史于承素希旨奏漏泄禁中语，复贬荣州刺史	柳赴任走到扶风县，岐州长史于承素揣摸圣意上奏称柳泄漏宫禁秘密，又贬为荣州刺史
乙酉，以侍中崔敦礼为中书令	乙酉，任命侍中崔敦礼为中书令
八月，尚药奉御蒋孝璋员外特置，仍同正员	八月，尚药局奉御蒋孝璋为定员二人之外的特置人员，品级仍同正员
员外同正自孝璋始	员外同正的官职从孝璋开始
长安令裴行俭闻将立武昭仪为后，以国家之祸必自此始，与长孙无忌、褚遂良私议其事	长安县令裴行俭听说朝廷将要立武昭仪为皇后，认为国家的祸患必定从此开始，便与长孙无忌、褚遂良私下议论此事
袁公瑜闻之，以告昭仪母杨氏，行检坐左迁西州都督府长史	袁公瑜听说后，将这一情况告诉武氏母亲杨氏，行俭因此获罪，贬为西州都督府长史
行俭，仁基之子也	行俭是裴仁基的儿子
九月，戊辰，以许敬宗为礼部尚书	九月，戊辰，任命许敬宗为礼部尚书
八月，壬寅，以许敬宗为太子少师、同东西台三品、知西台事	八月，壬寅，唐朝任命许敬宗为太子少师、同东西台三品、知西台事
九月，戊寅，初令八品、九品衣碧	九月，戊寅，唐朝开始让八品、九品官员穿浅蓝色衣服
冬，十月，丁酉，上幸骊山温汤，太子监国；丁未，还宫	冬季，十月，丁酉，回宫
庚戌，西台侍郎陕人上官仪同东西台三品	庚戌，西台侍郎陕人上官仪同东西台三品
癸丑，诏以四年正月有事于泰山，仍以来年二月幸东都	癸丑，唐高宗下诏令：定于龙朔四年正月封泰山，并于明年二月前往东都洛阳
癸酉，立皇子旭轮为殷王	癸酉，唐朝立皇子李旭轮为殷王
十二月，戊申，诏以方讨高丽、百济，河北之民，劳于征役，其封泰山、幸东都并停	十二月，戊申，唐高宗下诏说，因正讨伐高丽、百济，河北百姓为征役所劳苦，原定封泰山、去东都洛阳的事都停止进行
海道总管苏海政受诏讨龟兹，敕兴昔亡、继往绝二可汗发兵与之俱	海道总管苏海政接受诏命讨伐龟兹，唐高宗命令兴昔亡、继往绝二可汗发兵与苏海政一同前去
至兴昔亡之境，继往绝素与兴昔亡有怨，密谓海政曰：弥射谋反，请诛之	唐兵前进到兴昔亡境内，继往绝因一贯与兴昔亡有仇怨，于是秘密对苏海政说：阿史那弥射要谋反，请杀掉他
时海政兵才数千，集军吏谋曰：弥射若反，我辈无噍类，不如先事诛之	当时苏海政只有数千兵士，集合军官商议说：阿史那弥射如果反叛，我们谁也活不成，不如先把他杀掉
乃矫称敕，令大总管赍帛数万段赐可汗及诸酋长，兴昔亡帅其徒受赐，海政悉收斩之	于是便假称奉皇帝命令，让大总管带帛数万段赏赐给可汗和诸位酋长，兴昔亡率领他的部下前来受赏，苏海政乘机将他们全部抓住并斩首
其鼠尼施、拔塞干两部亡走，海政与继往绝追讨，平之	其中鼠尼施、拔塞干两部逃走，苏海政和继往绝率兵追击将他们讨平
军还，至疏勒南，弓月部复引吐蕃之众来，欲与唐兵战；海政以师老不敢战，以军资赂吐蕃，约和而还	唐军返回途中，到疏勒南，弓月部又引吐蕃兵前来，想与唐兵交战；苏海政因军队已经疲劳，不敢应战，便以军用物资贿赂吐蕃军，讲和后返回
由是诸部落皆以兴昔亡为冤，各有离心	从此，各部落都认为兴昔亡受冤屈，各怀离心
继往绝寻卒，十姓无主，有阿史那都支及李遮匐收其余众附于吐蕃	继往绝不久去世，西突厥十姓无首领，由阿史那都支及李遮匐收集西突厥余众附属于吐蕃
是岁，西突厥寇庭州，刺史来济将兵拒之，谓其众曰：吾久当死，幸蒙存全以至今日，当以身报国	本年，西突厥侵扰唐朝庭州，州刺史来济领兵抵抗，对部下说：我早就应该死了，幸蒙保全直到今日，应当以身报国
遂不释甲胄，赴敌而死	于是不解下铠甲头盔，奔赴敌阵，结果被打死
	三年
春，正月，左武卫大将军郑仁泰讨铁勒叛者余种，悉平之	春季，正月，左武卫大将军郑仁泰全部讨平铁勒反叛者的残余部众
乙酋，以李义府为右相，仍知选事	乙酋，唐朝任命李义府为右相，仍然主持选拔官员的事情
三月，许圉师再贬虔州刺史，杨德裔以阿党流庭州，圉师子文思、自然并免官	三月，许圉师被贬为虔州刺史，杨德裔因循私屈法被流放庭州，许圉师的儿子许文思、许自然均被撤职
右相河间郡公李义府典选，恃中宫之势，专以卖官为事，铨综无次，怨盈路，上颇闻之，从容谓义府曰：卿子及婿颇不谨，多为非法，我尚为卿掩覆，卿宜戒之	右相、河间郡公李义府主管选拔官吏，依仗皇后武则天的权势，专以卖官为能事，选授没有次第，弄得怨声载道，唐高宗也时有所闻，曾从容不迫地对李义府说：你的儿子和女婿很不谨慎，做了不少违法的事，我还为你遮掩，你应当警告他们
义府勃然变色，颈、颊俱张，曰：谁告陛下	李义府脸色骤变，涨红着脸和脖子说：是谁告诉陛下的
上曰：但我言如是，何必就我索其所从得邪	唐高宗说：只是我这样说，何必向我追索从哪里得来的呢
义府殊不引咎，缓步而去	李义府根本不承认自己的过失，缓步离去
上由是不悦	唐高宗因此不高兴
乙未，置鸡林大都督府于新罗国，以金法敏为之	乙未，唐朝设置鸡林大都督府于新罗国，任命金法敏为都督
丙午，蓬莱宫含元殿成，上始移仗居之，更命故宫曰西内	丙午，蓬莱宫含元殿落成，唐高宗开始迁移到那里居住，原居住的宫殿改名西内
戊申，始御紫宸殿听政	戊申，开始到紫宸殿处理政事
五月，壬午，柳州蛮酋吴君解反；遣冀州长史刘伯英、右武卫将军冯士发岭南兵讨之	五月，壬午，柳州蛮首领吴君解反叛唐朝，唐朝派遣冀州长史刘伯英、右武卫将军冯士征发岭南兵讨伐
吐蕃与吐谷浑互相攻，各遣使上表论曲直，更来求援；上皆不许	吐蕃与吐谷浑互相进攻，各派遣使者到唐朝上书辩论是非，轮番向唐朝求援；唐高宗都没有同意
秋，八月，戊申，上以海东累岁用兵，百姓困于征调，士卒战溺死者甚众，诏罢三十六州所造船，遣司元太常伯窦德玄等分诣十道，问人疾苦，黜陟官吏	秋季，八月，戊申，唐高宗因辽东地区连年用兵，百姓为赋税力役所困扰，士卒战死溺死的很多，下诏令免除三十六州的造船任务，派遣司元太常伯窦德玄等分别到十道，询问百姓疾苦，考核升降地方官吏
德玄，毅之曾孙也	窦德玄是窦毅的曾孙
九月，戊午，熊津道行军总管、右威卫将军孙仁师等破百济余众及倭兵于白江，拔其周留城	九月，戊午，熊津道行军总管、右威卫将军孙仁师等在白江打败百济残余部队及倭国兵，攻下周留城
冬，十月，辛巳朔，诏太子每五日于光顺门内视诸司奏事，其事之小者，皆委太子决之	冬季，十月，辛巳朔，唐高宗命令太子每五日一次在光顺门内视察各部门呈奏事情，事情比较小的都授权太子裁决
十二月，庚子，诏改来年元	十二月，庚子，唐高宗下令，明年更改年号
壬寅，以安西都护高贤为行军总管，将兵击弓月以救于阗	壬寅，唐朝任命安西都护高贤为行军总管，领兵进击弓月以解救于阗
是岁，大食击波斯，拂，破之；南侵婆罗门，吞灭诸胡，胜兵四十余万	本年，大食进攻波斯、拂，将他们打败；向南侵扰婆罗门，吞灭诸胡，拥兵四十多万
春，正月，甲子，改云中都护府为单于大都护府，以殷王旭轮为单于大都护	春季，正月，甲子，唐朝将云中都护府改为单于大都护府，任命殷王李旭轮为单于大都护
二月，戊子，上行幸万年宫	二月，戊子，唐高宗到万年宫
夏，四月，壬子，卫州刺史道孝王元庆薨	夏季，四月，壬子，卫州刺史道孝王李元庆去世
丙午，魏州刺史郇公孝协坐赃，赐死	丙午，魏州刺史郇公李孝协因犯贪赃罪，赐死
司宗卿陇西王博义奏孝协父叔良死王事，孝协无兄弟，恐绝嗣	司宗卿陇西王李博义上奏，说李老协的父亲李叔良过去为朝廷牺牲，孝协没有兄弟，恐怕要绝后
上曰：画一之法，不以亲疏异制，苟害百姓，虽皇太子亦所不赦	唐高宗说：法律是一样的，不能因亲近疏远而有不同，如果伤害百姓，就是皇太子也不能赦免
孝协有一子，何忧乏祀乎	李孝协有个儿子，怎么担心没有人祭祀祖先呢
孝协竟自尽于第	李孝协终于在住宅中自尽
五月，戊申朔，遂州刺史许悼王孝薨	五月，戊申朔，遂州刺史许悼王李孝去世
乙卯，于昆明之弄栋川置姚州都督府	乙卯，唐朝在昆明的弄栋川设置姚州都督府
秋，七月，丁未朔，诏以三年正月有事于岱宗	秋季，七月，丁未朔，唐高宗下诏，定于麟德三年正月封泰山
八月，丙子，车驾还京师，幸旧宅，留七日；壬午，还蓬莱宫	八月，丙子，返回蓬莱宫
丁亥，以司列太常伯刘祥道兼右相，大司宪窦德玄为司元太常伯、检校左相	丁亥，唐朝任命司列太常伯刘祥道兼任右相，大司宪窦德玄为司元太常伯、检校左相
冬，十月，庚辰，检校熊津都督刘仁轨上言：臣伏睹所存戍兵，疲羸者多，勇健者少，衣服贫敝，唯思西归，无心展效	冬季，十月，庚辰，检校熊津都督刘仁轨上奏说：我观察留在这里戍守的兵卒，疲惫瘦弱的占多数，勇猛健壮的占少数，衣服单薄破旧，一心想返回西边家乡，没有在这里效力的心思
臣问以往在海西，见百姓人人应募，争欲从军，或请自办衣粮，谓之义征，何为今日士卒如此	我曾问他们：以前在西边家乡时，看见百姓踊跃应募，争着要从军，有人请求自备衣服口粮，称为义征，现在的士卒为何这样
咸言：今日官府与曩时不同，人心亦殊	他们都说：现在的官府与从前不同，人心也不一样
曩时东西征役，身没王事，并蒙敕使吊祭，追赠官爵，或以死者官爵回授子弟，凡渡辽海者，皆赐勋一转	以前在东西征战中，为朝廷牺牲，都承蒙皇帝派使者吊唁祭奠，追封官爵，或者把死者的官爵回授给他的子弟，凡渡辽海东征的，都赐勋一级
自显庆五年以来，征人屡经渡海，官不记录，其死者亦无人谁何	自显庆五年以来，东征的人屡次渡海，官府没有记录，死了也没有人过问他的姓名和死因
州县每发百姓为兵，其壮而富者，行钱参逐，皆亡匿得免；贫者身虽老弱，被发即行	州县官每次征发百姓当兵，强壮而富有的人，花钱买通办事人员，都得以免征，而贫穷的人虽年老体弱，却立即被征发入伍
顷者破百济及平壤苦战，当时将帅号令，许以勋赏，无所不至；及达西岸，惟闻枷锁推禁，夺赐破勋，州县追呼，无以自存，公私困弊，不可悉言	不久前攻破百济及平壤的苦战，当时将帅发出号令，答应立功的人受奖赏，无所不至；等到返回西海岸，只听说被拘捕，被追究监禁，夺去赏赐，免除勋级，州县官吏上门催迫租赋，简直无法生活下去，公私困乏，一言难尽
以是昨发海西之日已有逃亡自残者，非独至海外而然也	因此不久前，从海西出发时就已经有逃亡或使自己残废的人，并不只是到了海外才发生这种情况
又，本因征役勋级以为荣宠；而比年出征，皆使勋官挽引，劳苦与白丁无殊，百姓不愿从军，率皆由此	还有，本来把因征战获得勋级看成一种荣耀；而近年出征中，都让有勋级的人挽舟拉车，劳苦同民夫没有两样，百姓所以不愿从军，大概都由于这些原因
臣又问：曩日士卒留镇五年，尚得支济，今尔等始经一年，何为如此单露	我又问：以前士卒留在这里镇守五年，尚且能够支持，现在你们才经历一年，为何衣着如此单薄甚至露体
咸言：初发家日，惟令备一年资装；今已二年，未有还期	他们都说：当初从家乡出发时，只让准备一年用的物资服装，现在已经二年，还没有回家的日期
臣检校军士所留衣，今冬仅可充事，来秋以往，全无准拟	我查核军士所存留的衣服，今冬仅可以应付，明年秋季以后，全无准备
陛下留兵海外，欲殄灭高丽	陛下留兵驻在海外，想消灭高丽
百济、高丽，旧相党援，倭人虽远，亦共为影响，若无镇兵，还成一国	百济、高丽从前就相互支援，倭人虽远，也互相呼应，如果没有我们军队镇守在这里，他们还会成为一国
今既资戍守，又置屯田，所借士卒同心同德，而众有此议，何望成功	现在既凭借士卒戍守，又设置屯田，所依靠的是士卒同心同德，而他们既然有这种议论，如何能指望获得成功
自非有所更张，厚加慰劳，明赏重罚以起士心，若止如今日以前处置，恐师众疲老，立效无日	如不有所更改，给予士卒优厚的慰劳，明确赏赐有功，切实责罚过失，以鼓起士气，而只是像以前那样处置，恐怕士卒疲惫，士气低落，成功不能预期
逆耳之事，或无人为陛下尽言，故臣披露肝胆，昧死奏陈	这些不顺耳的事情，也许没有人向陛下详尽说明，所以我无保留地说出肺腑之言，冒死奏陈
初，武后能屈身忍辱，奉顺上意，故上排群议而立之；及得志，专作威福，上欲有所为，动为后所制，上不胜其忿	当初，皇后武则天能屈身忍辱，顺从唐高宗的旨意，所以唐高宗排除不同意见，立她为皇后；等到她得志之后，恃势专权，唐高宗想有所作为，常为她所牵制，唐高宗非常愤怒
有道士敦行真，出入禁中，尝为厌胜之术，宦者王伏胜发之	有道士叫敦行真，出入皇宫，曾施行用诅咒害人的厌胜邪术，太监王伏胜揭发了这件事
上大怒，密召西台侍郎、同东西台三品上官仪议之	唐高宗大怒，秘密召来西台侍郎、同东西台三品上官仪商议
仪因言：皇后专恣，海内所不与，请废之	上官仪于是进言说：皇后专权自恣，天下人都不说好话，请废黜她
上意亦以为然，即命仪草诏	唐高宗也认为应当这么办，立即命令上官仪起草诏令
太子右中护·检校西台侍郎乐彦玮、西台侍郎孙处约并同东西台三品	太子右中护、检校西台侍郎乐彦玮，西台侍郎孙处约同任同东西台三品
二月，壬午，车驾发京师；丁酉，至合璧宫	二月，壬午，到达合璧宫
上语及隋炀帝，谓侍臣曰：炀帝拒谏而亡，朕常以为戒，虚心求谏；而竟无谏者，何也	唐高宗说到隋炀帝时，对身边大臣说：隋炀帝拒绝规劝而亡国，朕常常引为鉴戒，虚心寻求规劝，而终于没有进谏的人，为什么
李对曰：陛下所为尽善，群臣无得而谏	李世回答说：陛下所作所为尽善尽美，所以群臣没有什么可以进谏的
三月，甲寅，以兼司戎太常伯姜恪同东西台三品	三月，甲寅，唐朝任命兼司戎太常伯姜恪为同东西台三品
恪，宝谊之子也	姜恪是姜宝谊的儿子
辛未，东都乾元殿成	辛未，东都洛阳乾元殿落成
闰月，壬申朔，车驾至东都	闰三月，壬申朔，唐高宗来到东都洛阳
疏勒弓月引吐蕃侵于阗，敕西州都督崔知辩、左武卫将军曹继叔将兵救之	疏勒弓月招引吐蕃侵扰于阗，唐高宗命令西州都督崔知辩、左武卫将军曹继叔领兵援救于阗
夏，四月，戊辰，左侍极陆敦信检校右相；西台侍郎孙处约、太子右中护·检校西台侍郎乐彦玮并罢政事	夏季，四月，戊辰，左侍极陆敦信任检校右相；西台侍郎孙处约和太子右中护、检校西台侍郎乐彦玮均被免去相职
秘阁郎中李淳风以傅仁均《戊寅历》推步浸疏，乃增损刘焯《皇级历》，更撰《麟德历》；五月，辛卯，行之	秘阁郎中李淳风认为傅仁均《戊寅历》推算天文疏误越来越大，于是增删刘焯《皇极历》，新写成《麟德历》；五月，辛卯，新历颁行
秋，七月，己丑，兖州都督邓康王元裕薨	秋季，七月，己丑，兖州都督邓康王李元裕去世
上命熊津都尉扶馀隆与新罗王法敏释去旧怨；八月，壬子，同盟于熊津城	唐高宗命令熊津都尉扶馀隆与新罗王金法敏解除旧日的怨恨；八月，壬子，双方结盟于熊津城
刘仁轨以新罗、百济、耽罗、倭国使者浮海西还，会祠泰山，高丽亦遣太子福男来侍祠	刘仁轨带领新罗、百济、耽罗、倭国使者从海路西归，准备与唐君臣在泰山会合进行祭祀，高丽也派遣太子福男前来陪祭
冬，十月，癸丑，皇后表称：封禅旧仪，祭皇地祗，太后昭配，而令公卿行事，礼有未安，至日，妾请帅内外命妇奠献	冬季，十月，癸丑，皇后武则天上表说：封禅原来的礼仪，祭皇地祗时，太后在左边配享，而令公卿大臣执行祭祀之事，这在礼法上有不妥当的地方，这次祭皇地祗，我请求率领宫廷内外有封号的妇女奠献祭品
诏：禅社首以皇后为亚献，越国太妃燕氏为终献	唐高宗下诏：在社首山祭皇地祗时，皇后第二个进献祭品，越国太妃燕氏最后一个进献祭品
壬戌，诏：封禅坛所设上帝、后土位，先用藁秸、陶匏等，并宜改用茵褥、爵，其诸郊祀亦宜准此	壬戌，唐高宗下诏：封禅坛上所设的上帝、后土神位，先前使用禾杆、陶匏等，均应改用茵褥、爵，以后郊祭也应照此办理
又诏：自今郊庙享宴，文舞用《功成庆善之乐》，《武舞用》《神功破陈之乐》	又下诏令：自今以后，郊、庙祭祀宴会，文舞用《功成庆善之乐》，武舞用《神功破阵之乐》
春，正月，戊辰朔，上祀昊天上帝于泰山南	春季，正月，戊辰朔，唐高宗祭祀昊天上帝于泰山南
