春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
彭仲荡之子天护帅群胡攻贾疋，天护阳不胜而走，疋追之，夜坠涧中，天护执而杀之	彭仲荡的儿子彭天护带领胡人们攻打贾疋，彭天护表面上假装失败而退走，贾疋追击，夜里掉到山涧中，彭天护把他抓住杀了
汉以天护为凉州刺史	汉让彭天护任凉州刺史
众推始平太守麴允领雍州刺史	大家推举始平太守麴允兼雍州刺史
阎鼎与京兆太守梁综争权，鼎遂杀综	阎鼎与京兆太守梁综争夺权力，阎鼎于是杀了梁综
麴允与抚夷护军索、冯太守梁肃合兵攻鼎，鼎出奔雍，为氐窦首所杀	麴允与扶夷护军索，冯太守梁肃联合兵力攻打阎鼎，阎鼎出奔雍州，被氐人窦首杀死
广平游纶、张豺拥众数万，据苑乡，受王浚假署；石勒遣夔安、支雄等七将攻之，破其外垒	广平人游纶、张豺拥有几万人，占据苑乡，王浚让他们在那儿暂时代理原官行使职权，石勒派遣夔安、支雄等七个将领攻打他们，攻破了外围的营垒
浚遣督护王昌帅诸军及辽西公段疾陆眷、疾陆眷弟匹、文鸯、从弟末部众五万攻勒于襄国	王浚派遣都护王昌率领各军，以及辽西公段疾陆眷，段疾陆眷的弟弟段匹、段文鸯、堂弟段末等人的部众五万人到襄国攻打石勒
是岁大疫	这一年，全国大肆流行传染病
王澄少与兄衍名冠海内，刘琨谓澄曰：卿形虽散朗，而内实动侠，以此处世，难得其死	王澄年轻时，名声就与哥哥王衍一起名扬海内，刘琨对王澄说：你外表虽然洒脱清朗，而内心实际易动而侠义，这样来处世，难得好死
及在荆州，悦成都内史王机，谓为己亚，使之内综心膂，外为爪牙	等王澄到荆州，喜欢成都内史王机，认为他仅次于自己，让他对内成为综理事务的心腹臂膀，对外成为得力帮手
澄屡为杜所败，望实俱损，犹傲然自得，无忧惧之意，但与机日夜纵酒博弈，由是上下离心；南平太守应詹屡谏，不听	王澄多次被杜打败，声望与实际都有所减损，但仍是傲然自得，心里没有一点忧虑惧怯，只是与王机日夜纵情喝酒对弈，因此上下都与他不一条心，南平太守应詹多次劝谏，而王澄不听
南安赤亭羌姚弋仲东徙榆眉，戎、夏襁负随之者数万，自称护羌校尉、雍州刺史、扶风公	南安赤亭羌人姚弋仲向东迁徙到榆眉，戎人、汉人携带妻儿老小跟随他的人有几万，姚弋仲自称护羌护尉、雍州刺史、扶风公
己卯，汉定襄忠穆公王彰卒	己卯，汉定襄忠穆公王彰去世
三月，汉主聪立贵嫔刘娥为皇后，为之起仪殿	三月，汉主刘聪把贵嫔刘娥立为皇后，为她建造仪殿
廷尉陈元达切谏，以为天生民而树之君，使司牧之，非以兆民之命穷一人之欲也	廷尉陈元达恳切地劝谏，认为：天生百姓而为他们树立君主，是让君主管理他们，并不是用千万百姓的生命满足一个人穷奢极欲
晋氏失德，大汉受之，苍生引领，庶几息肩	晋朝廷无道，大汉受命于天，百姓翘首以待，差不多可以稍加养息
是以光文皇帝身衣大布，居无重茵，后妃不衣锦绮，乘舆马不食粟，爱民故也	所以光文皇帝刘渊身穿粗布，居住的地方也没有双层的坐垫，皇后妃嫔也不穿绫罗绸缎，拉车的马匹不喂粟谷，这是爱惜百姓的缘故
陛下践阼以来，已作殿观四十余所，加之军旅数兴，馈运不息，饥馑、疾疫，死亡相继，而益思营缮，岂为民父母之意乎	陛下即位以来，已经建造了四十多处宫殿，加上一再兴兵作战，军粮运输不停，饥馑、疾病流行，造成人们死的死、逃的逃，但您还想大兴土木，这难道是作百姓的父母的想法吗
今有晋遗类，西据关中，南擅江表；李雄奄有巴、蜀；王浚、刘琨窥窬肘腋；石勒、曹嶷贡禀渐疏；陛下释此不忧，乃更为中宫作殿，岂目前之所急乎	现在晋朝的残余还在西边占据着关中地区，南边把持着江东地区；李雄占据着巴蜀地区；王浚、刘琨窥伺着我们的肘腋之处；石勒、曹嶷贡奉与禀告越来越少，陛下不为这一切担忧，却又在宫廷中建造殿堂，这难道是目前所急需的吗
昔太宗居治安之世，粟帛流衍，犹爱百金之费，息露台之役	过去汉文帝处于安定的社会，稻谷布帛十分丰盛，仍然珍惜百金的费用，停止修建露台的劳役
陛下承荒乱之余，所有之地，不过太宗之二郡，战守之备，非特匈奴、南越而已	陛下接受的是兵荒马乱的时代，所占有的地方，不过汉文帝时的两个郡，需要征战和防御的，也并不仅仅是匈奴、南越
而宫室之侈乃至于此，臣所以不敢不冒死而言也	而皇宫的奢侈却到了这个地步，所以我不敢不冒死来说这几句话
聪大怒曰：朕为天子，营一殿，何问汝鼠子乎，乃敢妄言沮众	刘聪勃然大怒说：朕身为天子，建造一个殿堂，为什么要问你这样的鼠辈呢
不杀此鼠子，朕殿不成	你竟敢胡说八道扰乱大家的情绪，不杀掉这个鼠辈，朕的殿堂就建不成
命左右：曳出斩之	向左右随从发出命令：拖出去杀了
并其妻子同枭首东市，使群鼠共穴	连他的妻、子一起在东市悬首示众，让这群老鼠进到一个墓穴里去
时聪在逍遥园李中堂，元达先锁腰而入，即以锁锁堂下树，呼曰：臣所言者，社稷之计，而陛下杀臣	当时刘聪在逍遥园的李中堂里，陈元达事先拿锁锁住腰进去，进去后便用锁把自己锁在堂下的树下，大声呼喊：我所说的，是为社稷大业考虑，而陛下却要杀掉我
朱云有言：臣得与龙逢、比干游，足矣	汉朝朱云说：我能够与龙逢、比干同游，这就满足了
左右曳之不能动	随从们拉不动他
汉中山王曜、司隶校尉乔智明寇长安，平西将军赵染帅众赴之，诏麴允屯黄白城以拒之	汉中山王刘曜、司隶校尉乔智明进犯长安，平西将军赵染带领军队也赶去参战，晋朝诏令麴允到黄白城去抵御
琅邪王睿以前庐江内史华谭为军谘祭酒	琅邪王司马睿任用前庐江内史华谭为军咨祭酒
谭尝在寿春依周馥	华谭曾经在寿春依附于周馥
睿谓谭曰：周祖宣何故反	司马睿对华谭说：周馥为什么反叛
谭曰：周馥虽死，天下尚有直言之士	华谭说：周馥虽然死了，天下仍还有直言之士
馥见寇贼滋蔓，欲移都以纾国难，执政不悦，兴兵讨之，馥死未逾时而洛都沦没	周馥看到强盗窃贼越来越多，想迁都来解除困难，当局不高兴，派兵征讨他，结果周馥死了还没有一个时辰，都城洛阳就沦陷了
若谓之反，不亦诬乎	如果说周馥反叛，不是冤枉吗
睿曰：馥位为征镇，握强兵，召之不入，危而不持，亦天下之罪人也	司马睿说：周馥身居征镇戍守地方的军事要职，掌握强大的兵力，朝廷召他而他不入朝，朝廷危险的时候而不能扶助，也算是天下的罪人
谭曰：然，危而不持，当与天下共受其责，非但馥也	华谭说：是这样，朝廷危险而不能扶助，他应该与全国的将领一起受到责难，不仅仅是周馥一个人
石勒攻李恽于上白，斩之	石勒在上白攻打李恽，把他杀了
王浚复以薄盛为青州刺史	王浚又任命薄盛为青州刺史
王浚使枣嵩督诸军屯易水，召段疾陆眷，欲与之共击石勒，疾陆眷不至	王浚派枣嵩督领各军在易水驻扎，召段疾陆眷，想与他一起攻打石勒，段疾陆眷不来
浚怒，以重币赂拓跋猗卢，并檄慕容等共讨疾陆眷	王浚发怒，用重金贿赂拓跋猗卢，并向慕容等人传发檄文，要共同讨伐段疾陆眷
猗卢遣右贤王六将兵会之，为疾陆眷所败	拓跋猗卢派右贤王拓跋六带领军队去与王浚会合，结果被段疾陆眷打败
遣慕容翰攻段氏，取徒河、新城，至阳乐，闻六败而还，翰因留镇徒河，壁青山	慕容派慕容翰去攻打段氏，攻取了徒河、新城，到达阳乐，听说拓跋六失败，慕容翰因此留在徒河镇守，在青山建立营垒
壬辰，以琅邪王睿为左丞相、大都督，督陕东诸军事；南阳王保为右丞相、大都督，督陕西诸军事	壬辰，朝廷以琅邪王司马睿担任左丞相、大都督，都督陕东诸军事；以南阳王司马保任右丞相、大都督，都督陕西诸军事
诏曰：今当扫除鲸鲵，奉迎梓宫	诏书说：现在应当扫除像刘聪那样的大鱼，奉迎怀帝的灵柩
令幽、并两州勒卒三十万直造平阳，右丞相宜帅秦、凉、梁、雍之师三十万径诣长安，左丞相帅所领精兵二十万径造洛阳，同赴大期，克成元勋	命令幽、并两州带领三十万兵率直接进兵平阳，右丞相应当率领秦州、凉州、梁州、雍州的军队三十万人直接到长安，左丞相率领所属的二十万精锐兵士直接到洛阳，共同奔赴约定的大业，完成伟大的功勋
汉中山王曜屯蒲坂	汉中山王刘曜在蒲坂屯兵
帝遣殿中都尉刘蜀诏左丞相睿以时进军，与乘舆会于中原	愍帝派遣殿中都尉刘蜀诏令左丞相司马睿按时进军，与皇帝的乘舆在中原相会
八月，癸亥，蜀至建康，睿辞以方平定江东，未暇北伐	八月，癸亥，刘蜀到达建康，司马睿推辞说，刚刚平定江东地区，没有余暇北伐
以镇东长史刁协为丞相左长史，从事中郎彭城刘隗为司直，邵陵内史广陵戴邈为军谘祭酒，参军丹阳张为从事中郎，尚书郎颍川雅为记室参军，谯国桓宣为舍人，豫章熊远为主簿，会稽孔愉为掾	司马睿让镇东长史刁协任丞相左长史，从事中郎彭城人刘隗任司直，邵陵内史广陵人戴邈任军咨祭酒，参军丹阳人张任从事中郎，尚书郎颍川人钟雅任记室参军，谯国人桓宣任舍人，豫章人熊远任主簿，会稽人孔愉任掾
刘隗雅习文史，善伺候睿意，故睿特亲爱之	刘隗平素熟习文史，善于体察司马睿的心意，所以司马睿特别亲近宠爱他
胡亢性猜忌，杀其骁将数人	胡亢性格猜忌多疑，因此杀了自己的骁勇部将多人
杜曾惧，潜引王冲之兵使攻亢	杜曾感到恐惧，暗自勾结王冲的军队让他们攻打胡亢
亢悉精兵出拒之，城中空虚，曾因杀亢而并其众	胡亢出动全部精锐部队阻击王冲，而城中空虚，杜曾趁机杀了胡亢，接管了他的部众
周屯浔水城，为杜所困；陶侃使明威将军朱伺救之，退保泠口	周屯兵浔水城，被杜围困，陶侃派明威将军朱伺前去救援，杜就退到泠口防卫
侃曰：必步向武昌	陶侃说：杜一定会移兵武昌
乃自径道还郡以待之，果来攻	就从近路回到郡中等待杜，杜果然来进攻了
侃使朱伺逆击，大破之，遁归长沙	陶侃派朱伺迎头痛击，大败杜，杜自己逃回长沙
周出浔水投王敦于豫章，敦留之	周离开浔水到豫章投奔王敦，王敦留下了他
陶侃使参军王贡告捷于敦，敦曰：若无陶侯，便失荆州矣	陶侃派参军王贡向王敦报捷，王敦说：如果没有陶候，就要失去荆州了
乃表侃为荆州刺史，屯沔江	于是表奏陶侃任荆州刺史，驻扎在沔江
左丞相睿召周，复以为军谘祭酒	左丞相司马睿征召周，又让他担任军咨祭酒
荀藩薨于开封	荀藩在开封去世
是岁，左丞相睿遣世子绍镇广陵，以丞相掾蔡谟为参军	这一年，左丞相司马睿派长子司马绍镇守广陵，让丞相掾蔡谟担任参军
谟，克之子也	蔡谟是蔡克的儿子
代公猗卢城盛乐以为北都，治故平城为南都；又作新平城于水之阳，使右贤王六镇之，统领南部	代公拓跋猗卢在盛乐县筑城作为北都，把旧平城作为南都，又在水的北面建新平城，派右贤王拓跋六镇守，总管南部地区事务
春，正月，辛未，有如日陨于地；又有三日相承，出西方而东行	春季，正月，辛未，有个像太阳似的东西殒落到地下，又接连出现三个太阳，从西方朝东行
丁丑，大赦	丁丑，宣布大赦
有流星出牵牛，入紫微，光烛地，坠于平阳北，化为肉，长三十步，广二十七步	有流星从牵牛星处出来，进入紫徽星座，星光照亮了地面，后坠落在平阳以北，变成肉，长三十步，宽二十七步
汉主聪恶之，以问公卿	汉主刘聪对此感到厌恶，就询问公卿大臣
陈元达以为女宠太盛，亡国之征	陈元达认为是后宫女宠太多，亡国的征兆
聪曰：此阴阳之理，何关人事	刘聪说：这是天象日月运转的道理，与人事有什么相关
聪后刘氏贤明，聪所为不道，刘氏每规正之	刘聪的皇后刘氏很贤慧明达，刘聪做得不符合道理，刘氏每次都规劝让他改正
己丑，刘氏卒，谥曰武宣	己丑，刘氏去世，谥号为武宣
自是嬖宠竞进，后宫无序矣	从此刘聪的宠女爱姬竞相争先，后宫中失去了秩序
聪置丞相等七公；又置辅汉等十六大将军，各配兵二千，以诸子为之；又置左右司隶，各领户二十余万，万户置一内史；单于左右辅，各主六夷十万落，万落置一都尉；左、右选曹尚书，并典选举	刘聪设置了丞相等七公；又设置辅汉等十六大将军，各配备二千兵士，让他的儿子们来担任；又设置左、右司隶，各辖领二十多万户，每万户设一个内史；又设置单于左右辅，各统领胡、羯、鲜卑、氐、羌、乌丸等六类共十万帐落，每一万帐落设一个都尉；设置左、右选曹尚书，共同负责选举事务
自司隶以下六官，皆位亚仆射	从司隶以下的六个官职，地位都仅次于仆射
以其子粲为丞相、领大将军、录尚书事，进封晋王	让自己的儿子刘粲担任丞相、兼大将军、录尚书事，进封为晋王
江都王延年录尚书六条事，汝阴王景为太师，王育为太傅，任为太保，马景为大司徒，朱纪为大司空，中山王曜为大司马	以江都王刘延年担任录尚书六条事，让汝阴王刘景任太师，王育任太傅，任任太保，马景任大司徒，朱纪任大司空，中山王刘曜任大司马
初，王浚以邵续为乐陵太守，屯厌次	当初，王浚以邵续任乐陵太守，驻扎在厌次县
浚败，续附于石勒，勒以续子为督护	王浚失败，邵续依附于石勒，石勒以邵续的儿子邵任督护
浚所署勃海太守东莱刘胤弃郡依续，谓续曰：凡立大攻，必杖大义	王浚所管辖的勃海太守东莱人刘胤弃职投奔邵续，对邵续说：凡是建立大功，一定要依仗大义
君，晋之忠臣，柰何从贼以自污乎	您是晋朝的忠臣，为什么顺从贼寇玷污自己呢
会段匹以书邀续同归左丞相睿，续从之	正好段匹来信邀请邵续一同投靠左丞相司马睿，邵续同意了这个邀请
其人皆曰：今弃勒归匹，其如何	他手下的人都说：现在离弃石勒而投靠段匹，那邵怎么办
续泣曰：我岂得顾子而为叛臣哉	邵续哭着说：我难道能为顾惜儿子而作叛臣吗
杀异议者数人	杀了几个持异议的人
勒闻之，杀	石勒听说后，杀了邵
续遣刘胤使江东，睿以胤为参军，以续为平原太守	邵续派遣刘胤作为使者到江东，司马睿让刘胤担任参军，任邵续为平原太守
石勒遣兵围续，匹使其弟文鸯救之，勒引去	石勒派兵包围邵续，段匹派他弟弟段文鸯救援邵续，石勒带兵离去
襄国大饥，谷二升直银一斤，肉一斤直银一两	襄国饥荒严重，二升谷子价值一斤银子，一斤肉价值一两银子
杜将王真袭陶侃于林障，侃奔滠中	杜带领王真到林障袭击陶侃，陶侃逃奔滠中
周访救侃，击兵，破之	周访救援陶侃，打败了杜的军队
秋，赵染攻北地，允拒之，染中弩而死	秋季，赵染攻打北地，遭到允阻击，赵染身中弩箭而死
石勒始命州郡阅实户口，户出帛二匹，谷二斛	石勒开始命令所据各州郡核实户口，每户征收二匹帛、二斛谷
冬，十月，以张为都督凉州诸军事、凉州刺史、西平公	冬季，十月，朝廷任张为都督凉州诸军事、凉州刺史、西平公
十一月，汉主聪以晋王粲为相国、大单于，总百揆	十一月，汉主刘聪任晋王刘粲为相国、大单于，总领文武百官
粲少有俊才，自为宰相，骄奢专恣，远贤亲佞，严刻愎谏，国人始恶之	刘粲年轻时有杰出的才能，但自从当了宰相后，骄纵奢侈独断专行，疏远贤能亲近奸诈机巧的人，严厉苛刻，一意孤行不听规劝，开始遭到国人的憎恶
诏平东将军宋哲屯华阴	朝廷诏令平东将军宋哲驻扎在华阴
成主雄立后任氏	成汉主李雄把任氏立为皇后
二月，丙子，以琅邪王睿为丞相、大都督、督中外诸军事，南阳王保为相国，荀组为太尉、领豫州牧，刘琨为司空、都督并、冀、幽三州诸军事	二月，丙子，朝廷任琅邪王司马睿为丞相、大都督、都督中外诸军事，任南阳王司马保为相国，荀组为太尉、兼豫州牧，任刘琨为司空、都督并、幽、冀三州诸军事
琨辞司空，不受	刘琨推辞司空的职务，不接受
汉大赦，改元建元	汉实行大赦，改年号为建元
汉青州刺史曹嶷尽得齐、鲁间郡县，自镇临,有众十余万，临河置戍	汉青州刺史曹嶷夺取了齐、鲁地区的全部郡县，自己镇守临，有十多万军队，沿黄河安排戍守
石勒表称：嶷有专据东方之志，请讨之	石勒上奏表说：曹嶷有独据东方的想法，请去征讨他
汉主聪恐勒灭嶷，不可复制，弗许	汉主刘聪担心石勒消灭了曹嶷，不能再控制石勒，因此不同意
夏，四月，大赦	夏季，四月，晋朝宣布大赦
辛巳，大赦	辛巳，宣布大赦
汉大司马曜攻上党，八月，癸亥，败刘琨之众于襄垣	汉大司马刘曜攻打上党，八月，癸亥，在襄垣打败刘琨的军队
曜欲进攻阳曲，汉主聪遣使谓之曰：长安未平，宜以为先	刘曜想进攻阳曲，汉主刘聪派使者对他说：长安还没有平定，应当把攻长安放在前面
曜乃远屯蒲坂	刘曜就回到蒲坂驻扎
初，朝廷闻张光死，以侍中第五猗为安南将军，监荆·梁·益·宁四州诸军事、荆州刺史，自武关出	当初，朝廷听说张光死了，就命侍中第五猗担任安南将军，监荆、梁、益、宁四州诸军事，荆州刺史，从武关出行
杜曾迎猗于襄阳，为兄子娶猗女，遂聚兵万人，与猗分据汉、沔	杜曾到襄阳迎接第五猗，并为哥哥的儿子娶了第五猗的女儿，于是聚集了军队一万人，与第五猗分别占据汉水、沔水地区
王敦嬖人吴兴钱凤，疾陶侃之功，屡毁之	王敦所宠信的吴兴人钱凤，嫉妒陶侃的功劳，多次诋毁陶侃
侃将还江陵，欲诣敦自陈	陶侃将要回江陵，想到王敦那儿去陈说解释
朱伺及安定皇甫方回谏曰：公入必不出	朱伺和安定人皇甫方回劝谏说：您进去以后就会出不来了
侃不从	陶侃不听
既至，敦留侃不遣，左转广州刺史，以其从弟丞相军谘祭酒为荆州刺史	到了以后，王敦果然扣留住陶侃不放，后来王敦让他降职担任广州刺史，而派自己的堂弟丞相军谘祭酒王任荆州刺史
荆州将吏郑攀、马隽等诣敦，上书留侃，敦怒，不许	荆州的武将官吏郑攀、马隽等拜访王敦，给王敦上书，挽留陶侃，王敦发怒，不同意
攀等以侃始灭大贼，而更被黜，众情愤惋；又以忌戾难事，遂帅其徒三千人屯口，西迎杜曾	郑攀等人因为陶侃刚刚消灭了大贼寇，却反而被贬黜，大家群情激愤；又因为王猜忌暴戾难以共事，郑攀于是率领部众三千人到口驻扎，向西迎接杜曾
为攀等所袭，奔于江安	王遭到郑攀等人的袭击，投奔到江安县
杜曾与攀等北迎第五猗以拒	杜曾与郑攀等人又向北迎接第五猗来抵御王
督诸军讨曾，复为曾所败	王督率各支军队讨伐杜曾，又被杜曾打败
敦意攀承侃风旨，被甲持矛将杀侃，出而复还者数四	王敦猜测郑攀是接受了陶侃暗中劝告的旨意，就身披铠甲手持长矛将要杀陶侃，把陶侃押出来又带进去，来回四次
侃正色曰：使君雄断，当裁天下，何此不决乎	陶侃表情严肃地说：您雄才大略善于决断，应该能够决断天下的大事，为什么这样犹豫不决呢
因起如厕	说完就站起来向厕所走去
谘议参军梅陶、长史陈颁言于敦曰：周访与侃亲姻，如左右手，安有断人左手而右手不应者乎	咨议参军梅陶、长史陈颁对王敦说：周访与陶侃是姻亲，就像左右手，哪里有截断人的左手而他的右手没有反应的呢
敦意解，乃设盛馔以饯之，侃便夜发，敦引其子瞻为参军	王敦于是放弃了猜测，就安排丰盛的宴席为陶侃饯行，陶侃便连夜出发，王敦提拔他的儿子陶瞻担任参军
九月，汉主聪使大鸿胪赐石勒弓矢，策命勒为陕东伯，得专征伐，拜刺史、将军、守宰，封列侯，岁尽集上	九月，汉主刘聪派遣大鸿胪给石勒赏赐弓箭，用策书封石勒为陕东伯，可以独立自行征战讨伐，任命刺史、将军、郡守县令、分封列侯，到年底时再集中上报
汉大司马曜寇北地，诏以允为大都督、骠骑将军以御之	汉大司马刘曜进犯北地郡，晋朝诏令命允担任大都督、骠骑将军，抵御刘曜
冬，十月，以索为尚书仆射、都督宫城诸军事	冬季，十月，晋朝以索担任尚书左仆射、都督宫城诸军事
曜进拔冯翊，太守梁肃奔万年	刘曜进军攻取了冯翊，太守梁肃逃奔到万年县
曜转寇上郡	刘曜转而进犯上郡
允去黄白城，军于灵武，以兵弱，不敢进	允离开黄白城，到灵武驻军，因为兵力微弱，不敢冒然前进
凉州军士张冰得玺，文曰皇帝行玺，献于张，僚属皆贺	凉州军士张冰拾得一方印玺，印文是皇帝行玺，献给了张，僚属们都来祝贺
曰：是非人臣所得留	张说：这不是作臣下的所能留存的
遣使归于长安	派使者送到长安
春，正月，司徒梁芬议追尊吴王晏，右仆射索等引魏明帝诏以为不可；乃赠太保，谥曰孝	春季，正月，司徒梁芬提议追封吴王司马晏尊号，右仆射索等人引用魏明帝的诏书为例，认为不能这样，于是追赠为太保，谥号为孝
初，代王猗卢爱其少子比延，欲以为嗣，使长子六出居新平城，而黜其母	当初，代王拓跋猗卢偏爱小儿子拓跋比延，想让他作为继承人，便让长子拓跋六出去居住在新平城，并废黜了他的母亲
六有骏马，日行五百里，猗卢夺之，以与比延	拓跋六有骏马，能日行五百里，拓跋猗卢便把马要过来送给拓跋比延
六来朝，猗卢使拜比延，六不从	拓跋六来朝见，拓跋猗卢让他给拓跋比延行礼，拓跋六不答应
猗卢乃坐比延于其步辇，使人导从出游	拓跋猗卢于是让拓跋比延乘坐自己辇乘，派人当先导和随从，出去巡游
六望见，以为猗卢，伏谒路左；至，乃比延，六惭怒而去	拓跋六远远看见，还以为是拓跋猗卢，便在路左边伏首拜谒，来了一看，原来是拓跋比延，拓跋六羞惭愤怒地扬长而去
猗卢召之不至，大怒，帅众讨之，为六所败	拓跋猗卢宣召他而不来，勃然大怒，率领军队讨伐拓跋六，结果被拓跋六打败
猗卢微服逃民间，有贱妇人识之，遂为六所弑	拓跋猗卢穿上百姓的衣服逃到百姓中，有一个贫贱的妇人认出了他，于是被拓跋六杀了
拓跋普根先守外境，闻难来赴，攻六，灭之	拓跋普根原先在外面镇守，听说后便来赴难，攻打拓跋六，把他消灭了
宁州刺史王逊，严猛喜诛杀	宁州刺史王逊，严厉凶猛喜好杀人
五月，平夷太守雷、平乐太守董霸帅三千余余家叛，降于成	五月，平夷太守雷、平乐太守董霸，带领三千多人家叛离，向成汉投降
六月，丁巳朔，日有食之	六月，丁巳朔，出现日食
八月，汉大司马曜逼长安	八月，汉大司马刘曜进逼长安
石勒围乐平太守韩据于坫城，据请救于刘琨	石勒在坫城围攻乐平太守韩据，韩据向刘琨请求救援
琨新得拓跋猗卢之众，欲因其锐气以讨勒	刘琨刚刚得到拓跋猗卢的军队，想靠着这支军队的锐气来讨伐石勒
箕澹、卫雄谏曰：此虽晋民，久沦异域，未习明公之恩信，恐其难用	箕澹、卫雄劝谏说：这些人虽然是晋朝的百姓，但长时间沦落在异族地区，不了解您的恩德信义，恐怕他们难以使用
不若且内收鲜卑之余谷，外抄胡贼之牛羊，闭关守险，务农息兵，待其服化感义，然后用之，则功无不济矣	不如暂且在内收取鲜卑人的剩余谷物，在外抢夺胡人贼寇的牛羊，关闭关卡守住险要之地，开展农业生产，停止军事行动，等待拓跋猗卢的军队受到信义的教化感召，然后使用他们，那么功业没有不完成的
琨不从，悉发其众，命澹帅步骑二万为前驱，琨屯广牧，为之声援	刘琨不接受，把这些人全部调遣出去，命令箕澹率领二万步兵、骑兵作为前锋，刘琨驻扎在广牧，为他们声援
十二月，乙卯朔，日有食之	十二月，乙卯朔，发生日食
司空长史李弘以并州降石勒	司空长史李弘率并州向石勒投降
刘琨进退失据，不知所为，段匹遣信邀之，己未，琨帅众从飞狐奔蓟	这样刘琨失去据点进退两难，不知所措，段匹派使者邀请他，己未，刘琨率领部众从飞狐奔往蓟城
匹见琨，甚相亲重，与之结婚，约为兄弟	段匹见了刘琨，非常亲近敬重，与他联姻，并结拜为兄弟
勒分徙阳曲、乐平民于襄国，置守宰而还	石勒分别迁徙阳曲、乐平的百姓到襄国，安排了郡守县令等地方长官而回师
丞相睿以邵续为冀州刺史	丞相司马睿以邵续担任冀州刺史
续女婿广平刘遐聚众河、济之间，睿以遐为平原内史	邵续的女婿广平人刘遐在河、济地区聚集了一些人马，司马睿就让刘遐担任平原内史
托跋普根之子又卒，国人立其从父郁律	拓跋普根的儿子又去世了，国人又把他的叔父拓跋郁律立为首领
春，正月，汉兵东略弘农，太守宋哲奔江东	春季，正月，汉军向东进攻弘农郡，太守宋哲逃奔江东
五月，壬午，日有食之	五月，壬午，发生日食
汉主聪立晋王粲为皇太子，领相国、大单于，总摄朝政如故	汉主刘聪立晋王刘粲为皇太子，领相国职务、大单于称号，总摄朝政一如往昔
大赦	实行大赦
段匹推刘琨为大都督，檄其兄辽西公疾陆眷及叔父涉复辰、弟末等会于固安，共讨石勒	段匹推举刘琨为大都督，用檄书邀请其兄长辽西公疾陆眷、叔父涉复辰、弟段末等在固安聚会，共同征讨石勒
末说疾陆眷、涉复辰曰：以父兄而从子弟，耻也；且幸而有功，匹独收之，吾属何有哉	段末游说疾陆眷、涉复辰说：以父辈、兄长的身份追从子侄、兄弟，是一种耻辱；况且侥幸立功，段匹独收其利，我们能得到什么
各引兵还	于是疾陆眷、涉复辰、段末各自领军退还
琨、匹不能独留，亦还蓟	刘琨、段匹不能单独留守固安，也回师蓟州
以荀组为司徒	晋王任荀组为司徒
八月，汉赵固袭卫将军华荟于临颍，杀之	八月，汉将赵固在临颍击杀卫将军华荟
郑攀等相与拒王，众心不一，散还横桑口，欲入杜曾	郑攀等人共同抗拒王，因众心不齐，退散至横桑，打算投靠杜曾
王敦遣武昌太守赵诱、襄阳太守朱轨击之，攀等惧，请降	王敦派遣武昌太守赵诱、襄阳太守朱轨率军攻击，郑攀等人畏惧，请求归降
杜曾亦请击第五猗于襄阳以自赎	杜曾也自请袭击襄阳第五猗的军队，以赎其罪
冬，十月，丁未，琅邪王裒薨	冬季，十月，丁未，琅邪王司马裒去世
十一月，己酉朔，日有食之	十一月，己酉朔，出现日食
丁卯，以刘琨为侍中、太尉	丁卯，晋王任命刘琨为侍中、太尉
汉主聪出畋，以愍帝行车骑将军，戎服执戟前导	汉主刘聪出猎，让已经投降的西晋愍帝权充车骑将军，穿上军服手持画戟作为先导
见者指之曰：此故长安天子也	看见的人指着他说：这就是过去在长安的皇帝
聚而观之，故老有泣者	众人聚集观望，西晋遗老有的潸然泪下
太子粲言于聪曰：昔周武王岂乐杀纣乎	太子刘粲对刘聪说：古时周武王怎会以杀商纣为乐事呢
正恐同恶相求，为患故也	只是惟恐恶人聚集其身边，酿成祸患
今兴兵聚众者，皆以子业为名，不如早除之	现在聚众起兵之人，莫不以降帝司马邺之名相号召，不如早些除掉他
聪曰：吾前杀庾珉辈，而民心犹如是，吾未忍复杀也，且小观之	刘聪说：当年我虽杀了庾珉、王隽及晋怀帝等人，但民心仍然如此，我不忍再杀司马邺，暂且观察一段时间
十二月，聪飨群臣于光极殿，使愍帝行酒洗爵；已而更衣，又使之执盖	十二月，刘聪在光极殿大宴群臣，让愍帝斟酒洗杯，又让他拿盖
晋臣多涕泣，有失声者	晋旧臣见了，不少人潸然泪下，有的甚至哭出了声
尚书郎陇西辛宾起，抱帝大哭，聪命引出，斩之	尚书郎陇西人辛宾起身，抱着愍帝大哭，刘聪令人将他带出斩首
是岁，王命课督农功，二千石、长吏以入谷多少为殿最，诸军各自佃作，即以为禀	这年，晋王下令考核、督促农业生产，俸禄二千石的官员、长官依据交纳谷物的数量多少考评政绩高下，各地驻军各自耕作，所获充当军队给养
汉螽斯则百堂灾，烧杀汉主聪之子会稽王康等二十一人	汉国螽斯则百堂发生火灾，烧死汉主刘聪的儿子会稽王刘康等二十一人
聪以其子济南王骥为大将军、都督中外诸军事、录尚书，齐王劢为大司徒	刘聪任命其子济南王刘骥为大将军、都督中外诸军事、录尚书，任命齐王刘劢为大司徒
夏，四月，丁丑朔，日有食之	夏季，四月，丁丑朔，出现日食
