春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
张永、萧道成等与薛索儿作战，大破薛索儿军，薛索儿退守石梁，粮尽，大军溃散，薛索儿投奔乐平，被申令孙的儿子申孝叔击杀	邓琬以刘胡与沈攸之等相持久不决，乃加袁督征讨诸军事
薛安都的儿子薛道智逃往合肥，到裴季之处投降	六月，甲戌，帅楼船千艘，战士二万，来入鹊尾
傅灵越逃到淮水之西，被朝廷武卫将军沛郡人王广之活捉，押送给刘，刘指责他叛逆，傅灵越说：全国各地纷纷起义，岂只我一人	本无将略，性又怯桡，在军中未尝戎服，语不及战陈，唯赋诗谈义而已，不复抚接诸将；刘胡每论事，酬对甚简
薛安都不能任用贤才，只信任他的儿子和侄儿，这是他失败的原因	由此大失人情，胡常切齿恚恨
人生在世总归一死，实在没脸求活	胡以南运米未至，军士匮乏，就借襄阳之资，不许，曰：都下两宅未成，方应经理
刘把他押送到建康，明帝打算赦免他，但傅灵越始终不肯改口，便杀了他	又信往来之言，云建康米贵，斗至数百，以为将不攻自溃，拥甲以待之
田益之率西山蛮族军队一万多人包围义阳	安成太守刘袭，始安内史王识之，建发内史赵道生，并举郡来降
邓琬派司州刺史宠孟虬率精锐部队五千人援救，田益之不敢迎战，所率军队溃散	袭，道怜之孙也
闰正月，北魏任命顿丘王李峻为太宰	沈文秀、崔道固为土人所攻，遣使乞降于魏，且请兵自救
乙巳，刘宋车骑大将军、曲江庄公王玄谟去世	三月，魏慕容白曜进围东阳
刘在许昌击败北魏军队	魏以南郡公李惠为征南大将军、仪同三司、都督关右诸军事、雍州刺史，进爵为王
北魏任命南郡公李惠为征南大将军、仪同三司、都督关右诸军事、雍州刺史，封南郡王	五月，乙卯，魏主畋于崞山，遂如繁；辛酉，还宫
五月，乙卯，北魏国主前往崞山打猎，后又到繁	六月，魏以晶黎王冯熙为太傅
辛酉崐，回宫	熙，太后之兄也
秋季，七月，庚申，任命骁骑将军萧道成为南兖州刺史	八月，戊子，以南康相刘勃为交州刺史
十一月，交州变民首领李长仁派使节请求投降，自贬为代理州事，朝廷批准	十二月，魏人拔不其城，杀沈文静，入东阳西郭
夏季，四月，丙申，北魏实行大赦	五月，魏徙青、齐民于平城，置升城、历城民望于桑乾，立平齐郡以居之；自馀悉为奴婢，分赐百官
六月，北魏立皇子拓跋宏为太子	癸酉，以左卫将军沈攸之为郢州刺史
冬季，十月，丁卯朔，出现日食	魏顿丘王李峻卒
北魏顿丘王李峻去世	十一月，丁未，魏复遣使来修和亲，自是信使岁通
临海郡强盗首领田流自称东海王，抢劫海盐，杀了鄞县县令，东方各郡大为震惊	春，正月，乙亥，初制间二年一祭南郊，间一年一祭明堂
春季，正月，乙亥，开始建立祭礼规定：每隔二年，到南郊祭一次天；每隔一年，在明堂祭祀一次祖先	二月，壬寅，以司徒休仁为太尉，领司徒；固辞
北魏国主派征西大将军上党王长孙观攻打吐谷浑	夏，四月，辛丑，魏大赦
夏季，四月，辛丑，北魏实行大赦	戊申，魏长孙观与吐谷浑王拾寅战于曼头山，拾寅败走，遣别驾康盘龙入贡，魏主囚之
戊申，北魏长孙观与吐谷浑王慕容拾寅在曼头山大战，慕容拾寅战败逃走，派别驾康盘龙到北魏进贡，北魏国主把他囚入监牢	癸亥，立皇子燮为晋熙王，奉晋熙王昶后
癸亥，明帝立皇子刘燮为晋熙王，继承晋熙王刘昶为其后嗣	五月，魏立皇弟长乐为建昌王
五月，北魏立皇弟拓跋长乐为建昌王	六月，癸卯，以江州刺史王景文为尚书左仆射、扬州刺史，以尚书仆射袁粲为右仆射
冬季，十月，辛卯，宋明帝下诏说：孝武帝的儿子，因为身犯国法，全被诛杀	初，魏乙浑专政，慕容白曜颇附之
命皇子刘智随过继到孝武帝名下为子，封为武陵王	魏主追以为憾，遂称白曜谋反，诛之，及其弟如意
北魏阳平王拓跋新成去世	是岁，命龙骧将军义兴周山图将兵屯浃口讨田流，平之
八月，丁亥，北魏国主返回平城	戊子，以皇子跻继江夏文献王义恭
戊子，明帝把皇子刘跻过继给江夏文献王刘义恭	庚寅，上疾有间，大赦
庚寅，明帝病势转轻，宣布大赦	戊戌，立皇子准为安成王，实桂阳王休范之子也
明帝把原来的府邸改为庙院，称湘宫寺，装潢修建，极为壮观华丽	王景文常以盛满为忧，屡辞位任，上不许
准备兴建十层佛塔，不能成功，于是便修成两座	然中心以景文外戚贵盛，张永累经军旅，疑其将来难信，乃自为谣言曰：一士不可亲，弓长射杀人
新安太守巢尚之解除职务后，回京朝见，明帝对他说：你去过湘宫寺没有	景文弥惧，自表解扬州，情甚切至
那可是我的大功德，花费不少钱	诏报曰：人居贵要，但问心若为耳
通直散骑侍郎会稽人虞愿正在一边侍立，说：那是百姓用卖子、卖妻的钱所建造的，佛陀如果有灵，会慈悲为怀，哭泣哀叹	大明之世，巢、徐、二戴，位不过执戟，权亢人主
罪恶高过佛塔，有什么功德	今袁粲作仆射领选，而人往往不知有粲，粲迁为令，居之不疑；人情向粲，淡然亦复不改常日
在座的人脸色全都大变，明帝大怒，命人把虞愿驱逐出殿	以此居贵位要任，当有致忧竞不
虞愿慢慢离开，没有恐惧的表情	夫贵高有危殆之惧，卑贱有填壑之忧，有心于避祸，不如无心于任运，存亡之要，巨细一揆耳
春季，正月，甲寅朔，刘宋明帝因患病很久，不能痊愈，于是改年号泰豫	太阳蛮酋桓诞拥沔水以北、·叶以南八万余落降于魏，自云桓玄之子，亡匿蛮中，以智略为群蛮所宗
戊午，皇太子刘昱在东宫接见四方前来朝贺的官员，并接受各地方的贡品及报告	魏以诞为征南将军、东荆州刺史、襄阳王，听自选郡县吏；使起部郎京兆韦珍与诞安集新民，区置诸事，皆得其所
北魏献文帝返回平城	庚午，魏主耕籍田
庚午，北魏国主亲自主持耕田仪式	夏，四月，以垣崇祖行徐州事，徙戍龙沮
戊午，北魏国主前往阴山	戊辰，尊帝母陈贵妃为皇太妃，更以诸国太妃为太姬
八月，戊午，乐安宣穆公蔡兴宗去世	九月，辛巳，魏主还平城
己亥，刘宋擢升郢州刺史刘秉为尚书左仆射	中书通事舍人阮佃夫加给事中、辅国将军，权任转重
刘秉是刘道怜的孙子，性情温和懦弱，没有才干，只因他是皇族，清高显贵，所以袁粲、褚渊提出推荐他	欲用其所亲吴郡张澹为武陵郡；袁粲等皆不同，佃夫称敕施行，粲等不敢执
中书通事舍人阮佃夫被加授为给事中、辅国将军，权势更加扩大，职位更重要	魏有司奏诸祠祀合一千七十五所，岁用牲七万五千五百
他打算任用他的亲信、吴郡人张澹为武陵郡太守，袁粲等都不同意，阮佃夫声称是奉圣旨，袁粲等不敢坚持	上皇恶其多杀，诏：自今非天地、宗庙、社稷，皆勿用牲，荐以酒脯而已
春季，正月，戊寅朔，刘宋改年号元徽，实行大赦	庚辰，魏员外散骑常侍崔演来聘
庚辰，北魏员外散骑常侍崔演来访	戊戌，魏上皇还，至云中
戊戌，北魏太上皇率领大军回师，抵达云中	癸丑，魏诏守令劝课农事，同部之内，贫富相通，家有兼牛，通借无者；若不从诏，一门终身不仕
北魏任命孔子的第二十八代孙孔乘为崇圣大夫，由官府拨付十户人家，负责孔庙的清洁洒扫	秋，七月，魏诏：河南六州之民，户收绢一匹，绵一斤，租三十石
秋季，七月，北魏诏令黄河以南六州百姓，每户人家，收征缎一匹，绵一斤，谷米三十石	乙亥，魏主如阴山
乙亥，北魏国主前往阴山	八月，庚申，魏上皇如河西
八月，庚申北魏太上皇前往河西	遣使如魏
刘宋派使节前往北魏	冬，十月，癸酉，割南兖、豫州之境置徐州，治钟离
冬季，十月，癸酉，刘宋分割南兖州、豫州若干郡，设立徐州，州府设在钟离	魏上皇将入寇，诏州郡之民十丁取一以充行，户收租五十石以备军粮
北魏太上皇将要大举进攻刘宋，下令全国人民，十个青年中，征召一人入伍，每户征收五十石粮食，作为军粮储备	魏武都氐反，攻仇池，诏长孙观回师讨之
十二月，癸卯朔，出现日食	乙巳，江州刺史桂阳王休范进位太尉
乙巳，江州刺史、桂阳王刘休范升任太尉	诏起袁粲，以卫军将军摄职；粲固辞
征召袁粲以卫军将军的身份，代理尚书令，袁粲坚决辞让	壬子，柔然侵魏，柔玄镇二部敕勒应之
壬子，柔然汗国南下侵入北魏，柔玄镇所属的两个敕勒部落，起兵响应	魏州镇十一水旱，相州民饿死者二千八百余人
春季，正月，丁丑，北魏太尉源贺因病被解除职务	二月，甲辰，魏上皇还平城
二月，甲辰，北魏太上皇返回平城	三月，丁亥，魏员外散骑常侍许赤虎来聘
柔然汗国派使节来访	六月，庚子，以平南将军萧道成为中领军、南兖州刺史，留卫建康，与袁粲、褚渊、刘秉更日入直决事，号为四贵
十一月，丙戌，刘宋皇帝刘昱行加冠礼，实行大赦	十二月，癸亥，立皇弟跻为江夏王，赞为武陵王
十二月，癸亥，封皇弟刘跻为江夏王，刘赞为武陵王	是岁，魏建安贞王陆卒
本年，北魏建安贞王陆去世	春，正月，辛巳，帝祀南郊、明堂
三年	
夏季，五月，丙午，北魏国主派员外散骑常侍许赤虎来访	丁未，魏主如武州山；辛酉，如车轮山
冬季，十二月，丙寅，北魏改封建昌王拓跋长乐为安乐王	己丑，魏城阳王长寿卒
春季，正月，己亥，刘宋皇帝刘昱亲自主持耕田典礼，实行大赦	二月，魏司空东郡王陆定国坐恃恩不法，免官爵为兵
甲辰，北魏国主追尊母亲李贵人为思皇后	八月，丁卯，立皇弟为南阳王，嵩为新兴王，禧为始建王
八月，丁卯，刘宋封皇弟刘为南阳王，刘嵩为新兴王，刘禧为始建王	庚午，以给事黄门侍郎阮佃夫为南豫州刺史，留镇京师
庚午，任命给事黄门侍郎阮佃夫为南豫州刺史，仍留镇京师	九月，戊子，赐骁骑将军高道庆死
九月，戊子，下令赐骁骑将军高道庆自尽	冬，十月，辛酉，以吏部尚书王僧虔为尚书左仆射
冬季，十月，辛酉，提升吏部尚书王僧虔为尚书左仆射	十一月，戊子，魏以太尉、安乐王长乐为定州刺史，司空李欣为徐州刺史
十一月，戊子，北魏任命太尉、安乐王拓跋长乐为定州刺史，司空李为徐州刺史	春，正月，乙酉朔，魏改元太和
/顺皇帝升明元年	
春季，正月，乙酉朔，北魏改年号太和	己酉，略阳民王元寿聚众五千余家，自称冲天王；二月，辛未，魏秦、崐益二州刺史尉洛侯击破之
三月，庚子，北魏任命东阳王拓跋丕为司徒	夏，四月，丁卯，魏主如白登；壬申，如崞山
当初，明帝命陈昭华抚养刘准	丙子，魏诏曰：工商皂隶，各有厥分；而有司纵滥，或染流俗
戊辰，刘准尊陈昭华为皇太妃	自今户内有工役者，唯止本部丞；若有勋劳者，不从此制
九月，乙酉，北魏更改法令	戊申，封杨玉夫等二十五人为侯、伯、子、男
戊申，刘宋朝廷分别封杨玉夫等二十五人为侯爵、伯爵、子爵、男爵	冬，十月，氐帅杨文度遣其弟文弘袭魏仇池，陷之
春季，正月，己酉朔，文武百官全副武装入朝，参加元旦御前祝贺	丁亥，魏主如代汤泉；癸卯，还
丁亥，北魏国主前往代郡温泉	宕昌王弥机初立
癸卯，返回平城	三月丙子，魏遣使拜弥机征南大将军、梁·益二州牧、河南公、宕昌王
五月，北魏禁止皇族、贵戚及官员、士大夫不顾门第，与下层不同阶层人通婚，违者以违抗诏书论处	魏主与太后临虎圈，有虎逸，登阁道，几至御座，侍卫皆惊靡；吏部尚书王睿执戟御之，太后称以为忠，亲任愈重
六月，丁酉，刘宋任命辅国将军杨文弘为北秦州刺史，封武都王	庚子，魏皇叔若卒
庚子，北魏皇叔拓跋若去世	萧道成以大明以来，公私奢侈，秋，八月，奏罢御府，省二尚方雕饰器玩；辛卯，又奏禁民间华伪杂物，凡十七条
乙未，，任命萧赜为领军将军，萧嶷为江州刺史	九月，乙巳朔，日有食之
己卯，抓获叛军将领孙昙，斩首	魏员外散骑常侍郑羲来聘
壬寅，顺帝王谢梵境为皇后	十一月，癸亥，临澧侯刘晃坐谋反，与其党皆伏诛
谢梵境是谢庄的孙女	晃，秉之从子也
春季，正月，甲辰，刘宋顺帝任命江州刺史萧嶷为都督荆湘等八州诸军事、荆州刺史，任命尚书左仆射王延之为江州刺史，任命安南长史萧子良为都督会稽等五郡诸军事、会稽太守	辛亥，以竟陵世子赜为尚书仆射，进号中军大将军、平府仪同三司
丙辰，顺帝任命给事黄门侍郎萧长懋为雍州刺史	二月，丙子，邵陵殇王友卒
二月，丙子，宋邵陵殇王刘友去世	辛巳，魏太皇太后及魏主如代郡温泉
辛巳，北魏太皇太后及北魏国主孝文帝前往代郡温泉	甲午，诏申前命，命太傅赞拜不名
甲午，顺帝颁诏重申以前的命令，让太傅萧道成朝拜时，不必自己称名	已亥，魏太皇太后及魏主如西宫
己亥，北魏太皇太后及孝文帝前往西宫	三月，癸卯朔，日有食之
北魏孝文帝返回平城	魏秦州刺史尉洛侯、雍州刺史宜都王目辰、长安镇将陈提等皆坐贪残不法，洛侯、目辰伏诛，提徙边
丙寅，高帝追尊亡父为宣皇帝，追尊亡母陈氏为考皇后	丁卯，封皇子钧为衡阳王
六月，丙子，高帝诛杀游击将军姚道和，这是由于他因沈攸之起事而对朝廷怀有二心的原故	甲子，立王太子赜为皇太子；皇子嶷为豫章王，映为临川王，晃为长沙王，晔为武陵王，皓为安成王，锵为鄱阳王，铄为桂阳王，鉴为广陵王；皇孙长懋为南郡王
甲子，南齐高帝立王太子萧赜为皇太子，皇子萧嶷为豫章王，萧映为临川王，萧晃为长沙王，萧晔为武陵王，萧为安成王，萧锵为鄱阳王，萧铄为桂阳王，萧鉴为广陵王，皇孙萧长懋为南郡王	乙酉，葬宋顺帝于遂宁陵
高帝听说北魏将领准备前来侵犯，九月，乙巳，任命豫章王萧嶷为荆、湘二州刺史，仍旧担任都督的职务，还任命临川王萧映为扬州刺史	丙午，以司空褚渊领尚书令
丙午，高帝任命司空褚渊兼任尚书令	壬子，魏以侍中、司徒、东阳王丕为太尉，侍中、尚书右仆射陈建为司徒，侍中、尚书代人苟颓为司空
壬子，北魏任命侍中、司徒、东阳王拓跋丕为太尉，任命侍中、尚书右仆射陈建为司徒，任命侍中、尚书代郡人氏苟颓为司空	已未，魏安乐厉王长乐谋反，赐死
己未，北魏安乐厉王拓跋长乐谋反，孝文帝赐他自杀	庚申，魏陇西宣王源贺卒
庚申，北魏陇西宣王源贺去世	冬，十月，已巳朔，魏大赦
冬季，十月，己巳朔，北魏大赦	癸未，汝阴太妃王氏卒，谥曰宋恭皇后
契丹莫贺弗勿干率领部落一万多人前来归附北魏，在白狼水的东面居住下来	春，正月，戊戌朔，大赦
春季，正月，戊戌朔，南齐大赦	以司空褚渊为司徒，尚书右仆射王俭为左仆射；渊不受
夏季，四月，辛巳，北魏孝文帝前往白登山	自晋以来，建康宫之外城唯设竹篱，而有六门
五月，丙申朔，孝文帝前往火山	会有发白虎樽者，言白门三重关，竹篱穿不完
壬寅，返回平城	上感其言，命改立都墙
秋季，七月，辛亥，北魏孝文帝前往火山	戊午，皇太子穆妃裴氏卒
戊午，南齐皇太子穆妃裴氏故去	诏南郡王长懋移镇西州
崔慧景派遣长史裴叔保在武兴进攻李乌奴，被氐王杨文弘击败	九月，甲午朔，日有食之
九月，甲午朔，出现日食	丙午，柔然遣使来聘
丙午，柔然派遣使者前来南齐通问修好	汝南太守常元真、龙骧将军胡青苟降于魏
淮水北岸四州百姓不愿意归属北魏，经常希望返回江南地区	十一月，戊寅，丹阳尹王僧虔上言：郡县狱相承有上汤杀囚，名为救疾，实行冤暴
高帝派遣了许多暗探前去诱导他们反抗北魏	岂有死生大命，而潜制下邑
因此，徐州百姓桓标之、兖州百姓徐猛子等人到处蜂拥而起，明抢暗劫，集结民众，防守五固，推举司马朗之担任首领	愚谓囚病必先刺郡，求职司与医对共诊验，远县家人省视，然后处治
北魏派遣淮阳王尉元和平南将军薛虎子等人前去讨伐他们	上从之
二月，丁卯朔，北魏大赦	丁酉，游击将军桓康复败魏师淮阳，进攻樊谐城，拔之
丁酉，南齐游击将军桓康在淮阳再次打败北魏军队，接着进攻樊谐城，又将该城攻克	魏主自中山如信都；癸卯，复如中山；庚戌，还，至肆州
北魏孝文帝从中山前往信都	垣崇祖之败魏师也，恐魏复寇淮北，乃徙下蔡戍于淮东
癸卯，再次前往中山	既而魏师果至，欲攻下蔡；闻其内徙，欲夷其故城
庚戌，孝文帝启程返回，来到肆州	已酉，崇祖引兵渡淮击魏，大破之，杀获千计
魏法秀之乱，事连兰台御史张求等百余人，皆以反法当族	北魏法秀作乱的事情，牵连到兰台御史张求等一百多人，按照有关谋反的刑法全部应当灭族
尚书令王睿请诛首恶，宥其余党	尚书令王睿请求只诛杀罪魁祸首，而宽恕法秀残余的党羽
乃诏：应诛五族者，降为三族；三族者，门诛；门诛，止其身	于是，孝文帝颁诏说：应当诛灭五族的，降为诛灭三族；应当诛灭三族的，降为诛灭全家；应当诛灭全家的，只诛灭本人
所免千余人	因此幸免的有一千多人
夏，四月，已亥，魏主如方山	夏季，四月，己亥，北魏孝文帝前往方山
冯太后乐其山川，曰：他日必葬我于是，不必山陵也	冯太后喜爱这里山青水秀，便说：将来一定要把我安葬在此地，不一定要把我合葬在先帝的陵寝中
乃为太后作寿陵，又建永固石室于山上，欲以为庙	于是，孝文帝为冯太后预修陵墓，又在方城山上修建永固石室，准备用作陵庙
魏任城康王云卒	北魏任城康王拓跋云去世
五月，壬戌，邓至王像舒遣使入贡于魏	五月，壬戌，邓至王像舒派遣使者向北魏进贡
邓至者，羌之别种，国于宕昌之南	邓至是羌人的一个分支，在宕昌南面建立国家
六月，壬子，大赦	六月，壬子，南齐大赦
戊午，魏封皇叔简为齐郡王，猛为安丰王	戊午，北魏孝文帝将皇叔拓跋简封为齐郡王，将拓跋猛封为安丰王
秋，七月，已未朔，日有食之	秋季，七月，己未朔，出现日食
辛酉，柔然别帅他稽帅众降魏	辛酉，柔然别帅他稽率领本部归降北魏
杨文弘遣使请降，诏复以为北秦州刺史	北魏杨文弘派遣使者前来请求归降，南齐高帝颁诏重新任命他为北秦州刺史
先是，杨广香卒，其众半奔文弘，半奔梁州	此前，杨广香故去，他的部下一半投奔杨文弘，一半投奔梁州
文弘遣杨後起进据白水	杨文弘派遣杨后起进军占领了白水
上虽授以官爵，而阴敕晋寿太守杨公则使伺便图之	虽然高帝授给杨文弘官职爵位，但是暗中又敕令晋寿太守杨公则寻找方便的时机，设法除掉杨文弘
辛未，柔然主遣使来聘，与上书，谓上为足下，自称曰吾，遗上师子皮裤褶，约共伐魏	辛未，柔然可汗派遣使者前来南齐通问致意，在给高帝的国书中，称高帝为足下，自称为吾，向高帝赠送了狮子皮制成的一身骑装，约定共同讨伐北魏
春，正月，壬戌，诏置学生二百人，以中书令张绪为国子祭酒	春季，正月，壬戌，南齐高帝颁诏设置学生二百人，任命中书令张绪为国子祭酒
甲戌，魏大赦	甲戌，北魏大赦
乙丑，以褚渊录尚书事，王俭为侍中、尚书令，车骑将军张敬儿开府仪同三司	乙丑，南齐任命褚渊为录尚书事，任命王俭为侍中、尚书令，任命车骑将军张敬儿为开府仪同三司
丁卯，以前将军王奂为尚书左仆射	丁卯，任命前任将军王奂为尚书左仆射
庚午，以豫章王嶷为太尉	庚午，任命豫章王萧嶷为太尉
夏，四月，庚寅，上大行谥曰高皇帝，庙号太祖	夏季，四月，庚寅，南齐为已故的皇帝上谥号称高皇帝，庙号称作太祖
丙午，葬泰安陵	丙午，高帝被安葬在泰安陵
辛卯，追尊穆妃为皇后	辛卯，南齐武帝追尊穆妃为皇后
六月，甲申朔，立南郡王长懋为皇太子	六月，甲申朔，武帝将南郡王萧长懋立为皇太子
丙申，立太子妃王氏	丙申，武帝立王氏为太子妃
妃，琅邪人也	太子妃是琅邪人
封皇子闻喜公子良为竟陵王，临汝公子卿为庐陵王，应城公子敬为安陆王，江陵公子懋为晋安王，枝江公子隆为随郡王，子真为建安王，皇孙昭业为南郡王	武帝还封皇子闻喜公萧子良为竟陵王，临汝公萧子卿为庐陵王，应城公萧子敬为安陆王，江陵公萧子懋为晋安王，枝江公萧子隆为随郡王，萧子真为建安王，皇孙萧昭业为南郡王
司徒褚渊寝疾，自表逊位，世祖不许	南齐司徒褚渊卧病不起，自动上表请求退职，武帝没有答应
渊固请恳切，癸卯，以渊为司空，领骠骑将军，侍中、录尚书如故	褚渊恳切地再三请求，癸卯，武帝任命褚渊为司空，兼任骠骑将军，依然担任侍中、录尚书事
秋，七月，魏发州郡五万人治灵丘道	秋季，七月，北魏调集各州郡五万人修筑灵丘道
九月，丁巳，以国哀罢国子学	九月，丁巳，由于高帝的丧事，武帝命令裁撤国子学
氏王杨文弘卒，诸子皆幼，乃以兄子后起为嗣	氐王杨文弘故去，由于诸子都还幼小，便让哥哥的儿子杨后起做自己的后嗣
九月，辛酉，魏以后起为武都王，文弘子集始为白水太守	九月，辛酉，北魏任命杨后起为武都王，任命杨文弘的儿子杨集始为白水太守
既而集始自立为王，后起击破之	不久，杨集始自立为氐王，杨后起将他打败
辛未，以征南将军王僧虔为左光禄大夫、开府仪同三司、以尚书右仆射王奂为湘州刺史	辛未，南齐武帝任命征南将军王僧虔为左光禄大夫、开府仪同三司，任命尚书右仆射王奂为湘州刺史
宋故建平王景素主簿何昌、记室王及所举秀才刘，前后上书陈景素德美，为之讼冤	刘宋已故的建平王刘景素的主簿何昌寓和记室参军王以及他举荐的秀才刘，先后多次上书陈诉刘景素品德高尚，为他讼理冤屈
冬，十月，辛丑，诏听以士礼还葬旧茔	冬季，二月，辛丑，武帝颁诏准许他们以士人的礼仪将刘景素重新安葬在原来的坟墓中
，之弟也	刘是刘的弟弟
春，正月，辛亥，上祀南郊，大赦，改元	春季，正月，辛亥，南齐武帝前往建康南郊祭天，宣布大赦，更改年号为永明
诏以边境宁晏，治民之官，普复田秩	南齐武帝颁诏：由于边境安宁，应当普遍恢复各州县官员的田地俸禄
以太尉豫章王嶷领太子太傅	南齐武帝任命太尉豫章王萧嶷兼任太子太傅
嶷不参朝务，而常密献谋画，上多从之	萧嶷不肯参与朝廷政务，却经常暗中献计献策，武帝往往听从他的主张
壬戌，立皇弟锐为南平王，铿为宜都王，皇子子明为武昌王，子罕为南海王	壬戌（十三日，南齐武帝立皇弟萧锐为南平王，萧铿为宜都王，皇子萧子明为武昌王，萧子罕为南海王
二月，辛巳，以征虏将军杨炅为沙州刺史、阴平王	二月，辛巳，南齐武帝任命征虏将军杨炅为沙州刺史，封阴平王
辛丑，以宕昌王梁弥机为河、凉二州刺史，邓至王像舒为西凉刺史	辛丑，南齐武帝任命宕昌王梁弥机为河、凉二州刺史，任命邓至王像舒为西凉州刺史
闰月，癸丑，魏主后宫平凉林氏生子恂，大赦	北魏历闰四月，癸丑，北魏孝文帝后宫中的平凉人林氏生下儿子拓跋恂，于是宣布大赦
文明太后以恂当为太子，赐林氏死，自抚养恂	文明太后因拓跋恂应当被立为太子，便赐林氏自裁而死，由自己来抚养拓跋恂
五月，戊寅朔，魏主如武州山石窟佛寺	闰五月，戊寅朔，北魏孝文帝前往武州山石窟佛寺
魏使假员外散骑常侍顿丘李彪来聘	北魏派遣假员外散骑常侍顿丘人李彪前来南齐通问修好
八月，庚申，骁骑将军王洪范自柔然还，经涂三万余里	八月，庚申，骁骑将军王洪范从柔然返回，经历的途程有三万多里
十二月，乙巳朔，日有食之	十二月，乙巳朔，出现日食
癸丑，魏始禁同姓为婚	癸丑，北魏开始禁止同姓通婚
王俭进号卫将军，参掌选事	南齐王俭晋升官职名号为卫将军，参与执掌选拔官吏的事务
是岁，省巴州	本年，南齐撤销巴州的建置
魏秦州刺史于洛侯，性残酷，刑人必断腕，拔舌，分悬四体	北魏秦州刺史于洛侯，生性残酷，杀人的时候，总是要砍断手腕，割去舌头，支解四肢，分别悬挂示众
合州惊骇，州民王元寿等一时俱反	全州官民担惊受怕，州中平民王元寿等人一下子全都起来反抗
有司劾奏之，魏主遣使至州，于洛侯常刑人处宣告吏民，然后斩之	有关部门上奏弹劾于洛侯，孝文帝派遣使者来到秦州，在于洛侯经常杀人的地方，向官吏与百姓宣布朝廷的决定，然后便将于洛侯斩杀了
壬寅，以柳世隆为尚书左仆射，丹杨尹李安民为右仆射，王俭领丹杨尹	壬寅，南齐朝廷任命柳世隆为尚书左仆射，任命丹杨尹李安民为右仆射，任命王俭兼领丹杨尹
五月，甲申，魏遣员外散骑常侍李彪等来聘	五月，甲申，北魏派员外散骑常侍李彪等来访
秋，七月，甲申，立皇子子伦为巴陵王	秋季，七月，甲申，立皇子萧子伦为巴陵王
乙未，魏主如武州山石窟寺	乙未，北魏国主孝文帝前往武州山石窟寺
高丽王琏遣使入贡于魏，亦入贡于齐	高句丽国王高琏，派使节向北魏进贡，同时也向南齐进贡
时高丽方强，魏置诸国使邸，齐使第一，高丽次之	此时，高句丽王国正处于强盛时期，北魏安置各国使节住所，南齐使节排在第一位，接着就是高句丽了
乙未，魏员外散骑常侍李彪等来聘	乙未，北魏员外散骑常侍李彪等人，前来南齐访问
交州刺史李叔献既受命，而断割外国贡献；上欲讨之	交州刺史李叔献接受了朝廷的任命，却擅自截留外国对朝廷的进贡，因此，武帝打算去讨伐他
春，正月，丙辰，以大司农刘楷为交州刺史，发南康、庐陵、始兴兵以讨叔献	春季，正月，丙辰，任命大司农刘楷为交州刺史，并发动南康、庐陵、始兴三地的军队，讨伐李叔献
叔献闻之，遣使乞更申数年，献二十队纯银兜鍪及孔雀；上不许	李叔献得到消息后，立刻派使者跑到建康，乞求允许他延长几年任期，并向朝廷进贡二千四百个纯银头盔和孔雀翎，武帝拒绝了他的请求
叔献惧为楷所袭，间道自湘州还朝	李叔献深怕自己会受到刘楷的袭击，就抄小路从湘州返回建康
辛卯，上祀南郊，大赦	辛卯，南齐武帝到南郊祭祀天神，实行大敕
二月，己亥，魏制皇子皇孙有封爵者，岁禄各有差	二月，己亥，北魏规定：对有封爵的皇子皇孙们，按照不同标准等级，发放俸禄
辛丑，上祭北郊	辛丑，武帝到北郊祭祀
三月，丙申，魏封皇弟禧为咸阳王，干为河南王，羽为广陵王，雍为颍川王，勰为始平王，详为北海王	三月，丙申，北魏封皇弟拓跋禧为咸阳王，拓跋干为河南王，拓跋羽为广陵王，拓跋雍为颍川王，拓跋勰为始平王，拓跋详为北海王
文明太后令置学馆，选师傅以教诸王	太皇太后冯氏又下令设置皇家学校，遴选师傅教授各位亲王
勰于兄弟最贤，敏而好学，善属文，魏主尤奇爱之	在所有兄弟中间，拓跋勰最贤能，他敏而好学，擅长写文章，因此，孝文帝特别赏识喜欢他
初，宋太宗置总明观以集学士，亦谓之东观	当初，刘宋明帝设立总明观，聚集学士，也叫东观
上以国学既立，五月，乙未，省总明观	武帝认为，国学已经成立，所以在五月，乙未，下令撤销总明观
时王俭领国子祭酒，诏于俭宅开学士馆，以总明四部书充之	当时，王俭正兼任国子祭酒，诏令在王俭住宅内，开设学士馆，把总明观的甲、乙、丙、丁四部的图书，移交给学士馆
又诏俭以家为府	同时，又命令王俭把家作为办公的官署
六月，庚戌，进河南王度易侯为车骑将军，遣给事中吴兴丘冠先使河南，并送柔然使	六月，庚戌，北魏提升河南王慕容度易侯为车骑将军，并派遣经事中、吴兴人丘冠先出使河南同时护送柔然汗国使节
秋，七月，癸未，魏遣使拜宕昌王梁弥机兄子弥承为宕昌王	秋季，七月，癸未，北魏派遣使节前往宕昌，任命宕昌已故国王梁弥机哥哥的儿子梁弥承为新任宕昌王
初，弥机死，子弥博立，为吐谷浑所逼，奔仇池	当初，梁弥机去世，他的儿子梁弥博继承王位，被吐谷浑汗国所逼迫，逃到了仇池
