初命晋大夫魏斯、赵籍、韩虔为诸侯	周威烈王姬午初次分封晋国大夫魏斯、赵籍、韩虔为诸侯国君
于是民多盗铸钱，楚地尤甚	因此很多百姓私自铸钱，以楚地最为严重
诏徙奸猾吏民于边	汉武帝颁布诏书，命将奸猾不法的官吏和百姓放逐到边疆地区
夏，四月，乙卯，以太子少傅武强侯庄青翟为丞相	夏季，四月乙卯，汉武帝任命太子少傅武强侯庄青翟为丞相
冬，十月，雨水，无冰	冬季，十月，降雨，水未结冰
上既下缗钱令而尊卜式，百姓终莫分财佐县官，于是杨可告缗钱纵矣	汉武帝颁布了缗钱令后，又尊崇卜式，但老百姓却始终不肯拿出自己的财产帮助国家，于是由杨可主持，对隐瞒财产者进行的告发和惩处大规模地进行
义纵以为此乱民，部吏捕其为可使者	义纵认为此举骚扰了百姓，命官吏逮捕杨可派出的人员
天子以纵为废格沮事，弃纵市	汉武帝以义纵抗拒圣旨、阻挠告密之事，将其处死
郎中令李敢，怨大将军之恨其父，乃击伤大将军，大将军匿讳之	郎中令李敢怨恨大将军卫青使其父李广抱恨而死，将卫青打伤，但卫青却将此事隐瞒起来
居无何，敢从上雍，至甘泉宫猎，票骑将军去病射杀敢	不久，李敢随汉武帝到雍地甘泉宫狩猎，被票骑将军霍去病用箭射死
去病时方贵幸，上为讳，云鹿触杀之	霍去病当时正受宠信，声势显赫，汉武帝为其隐瞒真相，宣称李敢是被鹿撞死的
夏，四月，乙巳，庙立皇子闳为齐王，旦为燕王，胥为广陵王，初作诰策	夏季，四月乙巳，汉武帝在太庙册封皇子刘闳为齐王，刘旦为燕王，刘胥为广陵王，从此开始用颁布诰策的形式册封诸王
自造白金、五铢钱后，吏民之坐盗铸金钱死者数十万人，其不发觉者不可胜计，天下大抵无虑皆铸金钱矣	自从铸造白金币、五铢钱之后，官吏和百姓因私铸钱币而被处死的有数十万人，至于那些尚未发觉的更是多得无法计算，天下人几乎都在私铸钱币
犯者众，吏不能尽诛	由于犯此法的人太多了，官府不可能将他们全部诛杀
六月，诏遣博士褚大、徐偃等六人分循郡国，举兼并之徒及守、相、为吏有罪者	六月，汉武帝下诏书派遣博士褚大、徐偃等六人分别到全国各郡和诸侯国视察，举劾各地并吞贫民耕地之人和违法犯罪的郡守、诸侯国丞相及其他地方官吏
秋，九月，冠军景桓侯霍去病薨	秋季，九月，冠军景桓侯霍去病去世
天子甚悼之，为冢，像祁连山	汉武帝非常悲痛，为他仿照祁连山形状修了一座坟墓
是岁，大农令颜异诛	这一年，大农令颜异被处死
夏，五月，赦天下	夏季，五月，大赦天下
济东王彭离骄悍，昏暮，与其奴、亡命少年数十人行剽杀人，取财物以为好，所杀发觉者百余人，坐废，徙上庸	济东王刘彭离骄横凶悍，常在黄昏时率领家奴和亡命少年数十人抢劫杀人，夺取财物，并以此为嗜好，被他杀害的人，已发现的就有一百多个，因此他被废除王爵、封国，贬逐到上庸
	二年
冬，十一月，张汤有罪自杀	冬季，十一月，张汤因有罪而自杀
春，起柏梁台	春季，汉武帝修筑柏梁台，在台上造了一个承露盘，高二十丈，大小要七人合抱，用铜制成
作承露盘，高二十丈，大七围，以铜为之；上有仙人掌，以承露，和玉屑饮之，云可以长生	上面装有神仙手掌，用来承接露水，再拌上玉的粉末喝下去，据说可以长生不老
宫室之修，自此日盛	从此，宫室的修建，一天比一天兴盛
二月，以太子太傅赵周为丞相	二月，汉武帝任命太子太傅赵周为丞相
三月，辛亥，以太子太傅石庆为御史大夫	三月辛亥，汉武帝任命太子太傅石庆为御史大夫
大雨雪	天降大雪
夏，大水，关东饿死者以千数	夏季，大水成灾，关东地区饿死的人数以千计
是岁，孔仅为大农令，而桑弘羊为大农中丞，稍置均输，以通货物	这一年，孔仅作了大农令，桑弘羊作了大农中丞，逐渐在郡、国设置均输官，负责调节各地物资，互通有无
浑邪王既降汉，汉兵击逐匈奴于幕北，自盐泽以东空无匈奴，西域道可通	浑邪五归降汉朝以后，汉军将匈奴势力驱逐到大沙漠以北，自盐泽以东，不见匈奴踪迹，前往西域的道路可以通行
于是张骞建言：乌孙王昆莫本为匈奴臣，后兵稍强，不肯复朝事匈奴，匈奴攻不胜而远之	于是张骞建议说：乌孙王昆莫本来是匈奴的藩属，后来兵力渐强，不肯再事奉匈奴，匈奴派兵征服，未能取胜，于是远去
今单于新困于汉，而故浑邪地空无人，蛮夷俗恋故地，又贪汉财物，今诚以此时厚币赂乌孙，招以益东，居故浑邪之地，与汉结昆弟，其势宜听，听则是断匈奴右臂也	如今匈奴单于刚刚受到我朝的沉重打击，而过去的浑邪王辖地又空旷无人，蛮夷之族的习俗依恋故地，又贪图我朝的财物，如果现在我们用丰厚的礼物拉拢乌孙，招他们东迁，到过去的浑邪王辖地居住，与我朝结为兄弟之国，他们势将听从我朝的调遣，听从了就等于断了匈奴的右臂一般
既连乌孙，自其西大夏之属皆可招来而为外臣	与乌孙结盟之后，其西面的大夏等国也都能招来成为我朝的藩属
天子以为然，拜骞为中郎将，将三百人，马各二匹，牛羊以万数，赍金币帛直数千巨万；多持节副使，道可便，遣之他旁国	汉武帝认为有理，便任命张骞为中郎将，率领三百人，每人马二匹，以及数以万计的牛羊和价值数千万钱的黄金缯帛，又任命多人为手持天子符节的副使，沿途如有通往别国的道路，既派一副使前往
冬，徙函谷关于新安	冬季，把函谷关迁到新安
春，正月，戊子，阳陵园火	春季，正月戊子，汉景帝陵园失火
夏，四月，雨雹	夏季，四月，天降冰雹
关东郡、国十余饥，人相食	关东地区十几个郡和封国严重饥馑，出现人吃人的惨景
是岁，匈奴伊稚斜单于死，子乌维单于立	该年，匈奴单于伊稚斜去世，其子乌维即单于位
	四年
春，二月，中山靖王胜薨	春季，二月，中山王刘胜去世
秋，立常山宪王子商为泗水王	秋季，汉武帝封常山宪王的儿子刘商为泗水王
初，南越文王遣其子婴齐入宿卫，在长安取邯郸氏女，生子兴	当初，南越王赵胡派其子赵婴齐入宫为汉武帝充当侍卫，婴齐在长安娶邯郸女子氏为妻，生一子，取名赵兴
文王薨，婴齐立，乃藏其先武帝玺，上书请立氏女为后，兴为嗣	赵胡死后，赵婴齐断承王位，隐藏其先祖南越武帝赵佗的印玺，上书朝廷，请求立氏女为王后，赵兴为世子
汉数使使者风谕婴齐入朝	朝廷多次派遣使臣，提醒赵婴齐入京朝觐
婴齐尚乐擅杀生自恣，惧入见要，用汉法比内诸侯，固称病，遂不入见	赵婴齐愿自操生杀予夺大权，随心所欲，害怕一旦入朝，朝廷会用法令像约束内地诸侯一样约束他，所以坚决崐称病，没有到长安朝见
婴齐薨，谥曰明王	赵婴齐死后，谥号称明王
太子兴代立，其母为太后	太子赵兴即王位，其母氏为王太后
上行幸雍，且郊，或曰：五帝，泰一之佐也	汉武帝巡幸至雍，将要举行祭天仪式，有人建议说：五帝为泰一神的助手，应建泰一庙，由皇上亲自祭祀
宜立泰一，而上亲郊	汉武帝迟疑未决
上疑未定	齐国人公孙卿说道：今年得到宝鼎，冬季十一月初一清晨为冬至，与黄帝时一样
齐人公孙卿曰：今年得宝鼎，其冬辛巳朔旦冬至，与黄帝时等	公孙卿有简牍，上面说：黄帝得到宝鼎，该年十一月初一清晨为冬至，总共过了三百八十年，黄帝成仙升天
卿有札书曰：黄帝得宝鼎，是岁己酉朔旦冬至，凡三百八十年，黄帝仙登于天	公孙卿将简牍上的话通过汉武帝宠幸的人奏上，汉武帝非常高兴，召公孙卿前来询问，公孙卿回答说：此书是申公给我的，申公说：汉朝兴盛还会与黄帝时一样，汉朝的圣人，是高祖皇帝的孙子至曾孙
因嬖人奏之	宝鼎的出现，正好与神意相通，黄帝在祭祀神灵的明庭迎接万种神灵，明庭就是甘泉宫
上大悦，召问，卿对曰：受此书申公，申公曰：汉兴复当黄帝之时，汉之圣者在高祖之孙且曾孙也	黄帝在首山开采铜矿，在荆山下铸造宝鼎
宝鼎出而与神通，黄帝接万灵明庭，明庭者甘泉也	宝鼎铸成之后，天上有一条龙将龙须垂下来接引黄帝，于是，黄帝骑上龙背，和群臣及后宫妃嫔七十余人一起登天成了神仙
黄帝采首山铜，铸鼎于荆山下，鼎既成，有龙垂胡髯下迎黄帝，黄帝上骑龙，与群臣后宫七十余人俱登天	于是汉武帝说：唉
于是天子曰：嗟乎	要真的能跟黄帝一样，我看待离开妻子儿女，就象抛弃拖鞋罢了
诚得如黄帝，吾视去妻子如脱屣耳	于是任命公孙卿为郎官，派他到东方，在太室山等候天神降临
	五年
夏，四月，赦天子	夏季，四月，大赦天下
丁丑晦，日有食之	丁丑晦，出现日食
丙申，以御史大夫石庆为丞相，封牧丘侯	丙申，汉武帝任命御史大夫石庆为丞相，封牧丘侯
时国家多事，桑弘羊等致利，王温舒之属峻法，而宽等推文学，皆为九卿，更进用事；事不关决于丞相，丞相庆醇谨而已	当时，国家多事，桑弘羊等人谋取财利，王温舒等人推行严刑峻法，而宽等人则大力推崇儒家经典，他们都位列九卿，相继掌握朝政大权，国家大事不向丞相汇报，也不由丞相决定，丞相石庆只是敦厚、谨慎而已
西羌众十万人反，与匈奴通使，攻故安，围罕	西羌部族十万人反叛朝廷，与匈奴互通使者，进攻故安，包围罕
匈奴入五原，杀太守	匈奴侵入五原，杀死五原太守
	六年
冬，发卒十万人，遣将军李息、郎中令徐自为征西羌，平之	冬季，发兵十万人，派将军李息、郎中令徐自为征讨西羌，平定了西羌部族的叛乱
公孙卿侯神河南，言见仙人迹缑氏城上	公孙卿在河南等候神仙降临，声称在缑氏城上看到了神仙脚印
春，天子亲幸缑氏城视迹，问卿：得毋效文成、五利乎	春季，汉武帝亲自来到缑氏城观看神仙脚印，问公孙卿说：你不是想效法少翁、栾大吧
卿曰：仙者非有求人主，人主者求之；其道非宽假，神不来	公孙卿说：神仙无求于人间君主，而人间君主有求于他，如果求神之道不宽裕，神仙就不会来
言神事如迂诞，积以岁月，乃可致也	说到神仙之事，似乎很遥远荒诞，但积够了岁月，神仙就可请到
上信之	汉武帝相信了他的话
于是郡、国各除道，缮治宫观、名山、神祠以望幸焉	于是，各郡、国都扩建道路，修缮宫观和名山的神祠，希望有神仙驾临
赛南越，祠泰一、后土，始用乐舞	为感谢神仙保佑征服南越，祭祀泰一神和后土神，并开始使用以音乐伴奏的舞蹈
驰义侯发南夷兵，欲以击南越	驰义侯征调南夷各部族的军队，想让他们去征讨南越国时，且兰族首领害怕率军远离后相邻部族会乘机掳掠本族的老弱，于是率领部众背叛汉朝，杀死汉朝使臣和犍为太守
且兰君恐远行旁国虏其老弱，乃与其众反，杀使者及犍为太守	汉潮便征调应去攻打南越的由巴、蜀罪犯组成的八校尉部队，派中郎将郭昌、卫广率领他们攻击南越，诛杀且兰及邛都、都等部族首领，平定了南夷叛乱，并设置柯郡
汉乃发巴、蜀罪人当击南越者八校尉，遣中郎将郭昌、卫广将而击之，诛且兰及邛君、侯，遂平南夷为柯郡	夜郎国原本依赖南越国，南越国灭亡后，夜郎国君便到长安朝见，汉武帝封夜郎国君为夜郎王
夜郎侯始倚南越，南越已灭，夜郎遂入朝，上以为夜郎王	冉等部族都非常害怕，纷纷请求臣属于汉朝，由朝廷设官管理
冉皆振恐，请臣置吏，乃以邛都为越郡，都为沈黎郡，冉为汶山郡，广汉西白马为武都郡	于是，汉朝在邛都设越郡，在都设沈黎郡，在冉设汶山郡，在广汉西部的白马设武都郡
是岁，齐相卜式为御史大夫	该年，齐相卜式升任御史大夫
式既在位，乃言郡、国多不便县官作盐铁器，苦恶价贵，或强令民买之；而船有算，商者少，物贵	卜式到任后，言道：各郡、国对盐铁由官府专营多感不便，官府专营的盐铁产品质次价高，有时还强迫百姓购买，船只也要交纳算赋，所以经商的人少，物价昂贵
上由是不悦卜式	汉武帝因此不再喜欢卜式
上以卜式不习文章，贬秩为太子太傅，以宽代为御史大夫	汉武帝因卜式不善文辞，将其降为太子太傅，命宽代替卜式作御史大夫
汉兵入东越境，东越素发兵距险，使徇北将军守武林	汉军进入东越国境，东越王早已派兵占据了险要地带，并命徇北将军镇守武林
楼船将军卒钱塘辕终古斩徇北将军	杨仆部下士兵钱塘人辕终古将徇北将军斩杀
故越衍侯吴阳以其邑七百人反攻越军于汉阳	原东越衍侯吴阳率当地武装七百人背叛东越王，在汉阳进攻东越军队
越建成侯敖与繇王居股杀馀善，以其众降	名叫敖的东越建成侯与繇王骆居股杀死东越王骆馀善，率众归降
上封终古为御侯，阳为卯石侯，居股为东成侯，敖为开陵侯；又封横海将军说为按道侯，横海校尉福为缭侯，东越降将多军为无锡侯	汉武帝封辕终古为御侯，吴阳为卯石侯，骆居股为东成侯，敖为开陵侯；又封横海将军韩说为按道侯，横海校尉福为缭侯，东越降将多军为无锡侯
上以闽地险阻，数反覆，终为后世患，乃诏诸将悉其民徙于江、淮之间，遂虚其地	汉武帝因闽越地区地势险恶，其人反覆无常，多次与汉朝为敌，终究是后世祸患，于是诏命各路将领将当地人全部迁到长江、淮河一带，于是闽越地区成为荒无人烟的地方
春，正月，上行幸缑氏，礼祭中岳太室，从官在山下闻若有言万岁者三	春季，正月，汉武帝出巡至缑氏城，祭祀于中岳太室，随从官员在山下似乎听到有声音连呼三次万岁
诏祠官加增太室祠，禁无伐其草木，以山下户三百为之奉邑	汉武帝命令主管祭祀的官员扩建太室祭祠，禁止砍伐山上草木，又将山下三百户百姓作为供奉太室的奉邑
齐怀王闳薨，无子，国除	齐王刘闳去世，因没有儿子，封国被撤销
冬，十月，上行幸雍，祠五；还，祝祠泰一，以拜德星	冬季，十月，汉武帝巡幸至雍，祭祀于五；回长安后，祭祀泰一神，并叩拜德星
春，正月，公孙卿言：见神人东莱山，若云欲见天子	春季，正月，公孙卿报告说：在东莱山看到神仙，他好像说要见天子
天子于是幸缑氏城，拜卿为中大夫，遂至东莱，宿留之，数日，无所见，见大人迹云	于是汉武帝前往缑氏城，封公孙卿为中大夫，到东莱住了几天，却未见到神仙，只看到了巨人的足迹
复遣方士求神怪，采芝药，以千数	汉武帝又派出数以千计的方士去寻访神，采摘灵芝
时岁旱，天子既出无名，乃祷万里沙	当时正逢旱灾，汉武帝外出巡游没有理由，便去祭祀万里沙神庙
夏，四月，还，过祠泰山	夏季，四月，返回长安，中途祭祀泰山
上还长安	汉武帝回到长安
初令越巫祠上帝、百鬼，而用鸡卜	汉武帝开始命令越族巫师祭祀上帝和众鬼，并使用鸡骨进行占卜
上以旱为忧，公孙卿曰：黄帝时，封则天旱，乾封三年	汉武帝因为旱灾而忧虑，公孙卿说：黄帝时，封祀后便出现大旱，使封土干了三年
上乃下诏曰：天旱，意乾封乎	汉武帝于是颁布诏书说：天旱，意旨是要使封土干吧
秋，作明堂于汶上	秋季，在汶水边兴建明堂
上募天下死罪为兵，遣楼船将军杨仆从齐浮渤海，左将军荀彘出辽东，以讨朝鲜	汉武帝下令招募天下犯有死罪的人当兵，由楼船将军杨仆率领，从齐国渡渤海，左将军荀彘从辽东出发，征讨朝鲜
冬，十二月，雷；雨雹，大如马头	冬季，十二月，打雷；天降冰雹，像马头一般大小
上遣将军赵破奴击车师	汉武帝派将军赵破奴攻击西域车师国
破奴与轻骑七百余先至，虏楼兰王，遂破车师，因举兵威以困乌孙、大宛之属	赵破奴率轻骑兵七百余名先到西域，生擒楼兰王，然后大破车师国，并乘机以兵威困迫乌孙、大宛等国
春、正月、甲申、封破奴为浞野侯	春季，正月甲申，汉武帝封赵破奴为浞野侯
王恢佐破奴击楼兰，封恢为浩侯	王恢因辅佐赵破奴攻袭楼兰国，被封为浩侯
于是酒泉列亭障至玉门矣	于是从酒泉到玉门都有了汉朝设立的边防要塞
初作角戏、鱼龙曼延之属	角、鱼龙、曼延之类的杂技游戏开始兴起
汉兵入朝鲜境，朝鲜王右渠发兵距险	汉军进入朝鲜境内，朝鲜王卫右渠派兵占据险要之地进行抵抗
楼船将军将齐兵七千人先至王险	楼船将军杨仆率领齐国军队七千人先行抵达王险
右渠城守，窥知楼船军少，即出城击楼船；楼船军败散，遁山中十余日，稍求退散卒，复聚	卫右渠据城坚守，探知杨仆兵力单薄，便出城袭击杨仆
左将军击朝鲜水西军，未能破	杨仆军兵败溃散，逃入山中十几天，后逐渐找回溃散的兵卒，重新聚集起来
天子为两将未有利，乃使卫山因兵威往谕右渠	左将军荀彘率部攻击朝鲜水西面的军队，未能攻破
右渠见使者，顿首谢：愿降，恐两将诈杀臣；今见信节，请复降	汉武帝因为两位将军未能取胜，便派卫山前往朝鲜，用军事压力劝谕卫右渠归顺
遣太子入谢，献马五千匹，及馈军粮；人众万余，持兵方渡水	卫右渠会见卫山，叩头道歉，说道：我愿意归降，但害怕两位将军用诈术杀我；如今见到天子信节，所以请求再次归降
使者及左将军疑其为变，谓太子：已服降，宜令人毋持兵	卫右渠派太子前往汉朝谢罪，并献马五千匹，又为汉军提供军粮
太子亦疑使者、左将军诈杀之，遂不渡水，复引归	朝鲜太子率众一万余人，手持武器，将要渡过水，卫山和荀彘疑心要生出变故，便对太子说：既然已经归降，应命你手下人不要携带兵器
山还报天子	太子也怕卫山和荀彘用计杀他，于是不肯渡水，带人返回
天子诛山	卫山回京报告汉武帝，汉武帝将卫山诛杀
秋，七月，胶西于王端薨	秋季，七月，胶西王刘端去世
武都氐反，分徙酒泉	武都郡氐族叛乱，汉朝将他们分批迁往酒泉
	四年，(甲戍，前107)
冬，十月，上行幸雍，祠五	冬季，十月，汉武帝巡游至雍，祭祀于五
通回中道，遂北出萧关，历独鹿、鸣泽，自代而还，幸河东	回中的道路已然打通，于是汉武帝北出萧关，经独鹿山、鸣泽湖，到代地返回、途中巡察了河东郡
春，三月，祠后土，赦汾阴、夏阳、中都死罪以下	春季，三月，汉武帝祭祀后土神，下令赦免汾阴、夏阳、中都地区死刑以下囚犯
夏、大旱	夏季，大旱
长平列侯卫青薨	长平侯卫青去世
起冢，象庐山	汉武帝为他修建了一座像匈奴国中的庐山一样形状的坟墓
上既攘却胡、越，开地斥境，乃置交趾、朔方之州，及冀、幽、并、兖、徐、青、扬、荆、豫、益、凉等州，凡十三部，皆置刺史焉	汉武帝已经驱逐了北方的匈奴，消灭了南方的越族政权，开疆拓土，于是设置交趾、朔方二州，以及冀州、幽州、并州、兖州、徐州、青州、扬州、荆州、豫州、益州、凉州，共将全国划分为十三州，全都设刺史
上以名臣文武欲尽，乃下诏曰：盖有非常之功，必待非常之人	汉武帝因朝中有名的文武大臣快要没有了，所以颁布诏书，求取贤才：凡是非同寻常的功业，必须等待非同寻常的人才去完成
故马或奔而致千里，士或有负俗之累而立功名	所以有的马虽然凶暴不驯，却能一口气奔驰千里；有的士人虽然遭到世俗的诟骂，却能建功立业
夫泛驾之马，弛之士，亦在御之而已	无论是容易翻车之马，还是放荡不羁之士，都只看如何驾御而已
其令州、郡察吏、民有茂才、异等可为将、相及使绝国者	命令各州、郡官长考察本地官吏和一般百姓中，是否有才干优秀或不同凡俗，能够胜任将相之职，或出使遥远国家的人，保荐给朝廷
冬，上行幸回中	冬季，汉武帝巡游回中地区
春，作首山宫	春季，兴建首山宫
三月，行幸河东，祠后土，赦汾阴殊死以下	三月，汉武帝巡游河东地区，祭祀后土神，赦免汾阴地区死罪以下囚犯
汉既通西南夷，开五郡，欲地接以前通大夏，岁遣使十余辈出此初郡，皆闭昆明，为所杀，夺币物	汉朝打通西南夷之后，增设五郡，希望在这一带找出一条通往大夏国的道路，每年都要派出十几批使者，从这些新郡出发，但都被困在昆明，使者被杀，财物被抢
于是天子赦京师亡命，令从军，遣拔胡将军郭昌将以击之，斩首数十万	于是汉武帝赦免京师的死罪之徒，命他们从军，派拔胡将军郭昌率领前往昆明地区进行征讨，共斩杀数十万人
后复遣使，竟不得通	可是以后再派出使者，到底还是不能通过此地
秋，大旱，蝗	秋季，大旱，并发生蝗灾
乙酉，柏梁台灾	乙酉(二十二日)，柏梁台遭火灾
十二月，甲午朔，上亲禅高里，祠后土，临渤海，将以望祀蓬莱之属，冀至殊廷焉	十二月甲午朔(初一)，汉武帝在高里山亲自祭祀地神，又祭后土神，然后来到渤海边，准备遥祭蓬莱等仙山，希望能亲身到达神仙所在的仙庭
春，上还，以柏梁灾，故朝诸侯、受计于甘泉	春季，汉武帝回返长安，因柏梁台失火，所以在甘泉宫接受各诸侯王的朝拜和各郡、国载录户口，赋税的簿册
甘泉作诸侯邸	在甘泉修建诸侯王宫邸
大中大夫公孙卿、壶遂、太史令司马迁等言：历纪坏废，宜改正朔	大中大夫公孙卿、壶遂、太史令司马迁等上奏说：历法、纪年都已坏废，应当改正朔
上诏宽与博士赐等共议，以为宜用夏正	汉武帝命宽与名叫赐的博士等共同商议，认为应使用夏胡历法
夏，五月，诏卿、遂、迁等共造崐汉《太初历》，以正月为岁首，色上黄，数用五，定官名，协音律，定宗庙百官之仪，以为典常，垂之后世云	夏季，五月，汉武帝下诏，命公孙卿、壶遂、司马迁等共同制定汉朝《太初历》，以正月为一年的开始，崇尚黄颜色，以五为吉祥数字，重新定官名，协调音律，制定宗庙、百官的仪礼，作为国家常规，流传后世
匈奴儿单于好杀伐，国人不安；又有天灾，畜多死	匈奴儿单于性好杀戮，使国中百姓不安，又发生天灾，很多牲畜死亡
左大都尉使人间告汉曰：我欲杀单于降汉，汉远，即兵来迎我，我即发	匈奴左大都尉派人偷偷对汉朝说：我打算杀死单于，归降汉朝，但汉朝路远，如能派兵来接应，我马上就可以发动
上乃遣因将军公孙敖筑塞外受降城以应之	于是汉武帝派因将军公孙敖在塞外修建受降城，驻兵接应
秋，八月，上行幸安定	秋季，八月，汉武帝巡游安定郡
中尉王温舒坐为奸利，罪当族，自杀；时两弟及两婚家亦各自坐他罪而族	中尉王温舒被指控犯有奸诈贪利之罪，应当灭族，王温舒自杀；当时，王温舒的两个弟弟和两个亲家也分别因其他罪名被灭族
光禄勋徐自为曰：悲夫	光禄勋徐自为说：可悲哪
古有三族，而王温舒罪至同时而五族乎	古时候有灭三族的，而今王温舒的罪到了同时灭五族的地步
关东蝗大起，飞西至敦煌	关东地区发生严重蝗灾，大批蝗虫向西飞去，到达敦煌
	二年(戊寅、前103)
春，正月，戊申，牧丘恬侯石庆薨	春季，正月戊申(疑误)，牧丘侯石庆去世
三月，上行幸河东，祠后土	三月，汉武帝巡游河东郡，祭祀后土神
夏，五月，籍吏民马补车骑马	夏季，五月，登记征用官吏和百姓的马匹，补充军马
秋，蝗	秋季，发生蝗灾
贰师将军之西也，既过盐水，当道小国各城守，不肯给食，攻之不能下；下者得食，不下者数日则去	贰师将军李广利率兵西征，过盐泽之后，沿途小国都据城自守，不肯供应汉军粮食，攻又攻不下；攻下之后，粮食自可得到补充；如不能攻破，数日后便离去
比至郁成，士至者不过数千，皆饥罢	等到达郁成时，全军只剩下数千人，且全都饥饿疲惫
攻郁成，郁成大破之，所杀伤甚众	进攻郁成，反被镇守郁成的军队打得大败，伤亡惨重
贰师将军与李哆、赵始成等计：至郁成尚不能举，况至其王都乎	李广利与李哆、赵始成等商议道：到郁成尚且不能攻破，更何况到大宛的国都呢
引兵而还	于是领兵返回
至敦煌，士不过什一二	到敦煌时，士兵只剩下出征时的十分之一二
使使上书言：道远乏食，且士卒不患战而患饥，人少，不足以拔宛，愿且罢兵，益发而复往	李广利派人上奏汉武帝：道路遥远，粮食缺乏，将士们虽不惧战斗，但饥饿难忍；况且人数太少，不足以攻下大宛，希望能暂且罢兵，待证调更多的军队后再前往征讨
天子闻子，大怒，使使遮玉门曰：军有敢入者辄斩之	汉武帝闻奏大怒，派使臣至玉门阻拦，同时下令：军队有胆敢退入玉门关的，一律斩首
贰师恐，因留敦煌	李广利大为惶恐，因而留在敦煌
冬，十二月，宽卒	十二月，宽去世
	三年(己卯、前102)
春，正月，胶东太守延广为御史大夫	春季，正月，胶东太守延广被任命为御史大夫
匈奴儿单于死，子年少，匈奴立其季父右贤王犁湖为单于	匈奴儿单于去世，因其子年纪小，匈奴部众共立儿单于的叔父右贤王湖为单于
上遣光禄勋徐自为出五原塞数百里，远者千余里，筑城、障、列亭，西北至庐朐，而使游击将军韩说、长平侯卫伉屯其旁；使强弩都尉路博德筑居延泽上	汉武帝派光禄勋徐自为从五原出塞数百里，最远处达千余里，修筑城墙、要塞、亭燧等，向西北直到庐朐，命游击将军韩说、长平侯卫伉屯兵庐朐附近；命强弩都尉路博德在居延泽筑城镇守
秋，匈奴大入定襄、云中，杀略数千人，败数二千石而去，行破坏光禄所筑城、列亭、障；又使右贤王入酒泉、张掖，略数千人	秋季，匈奴大举侵入定襄、云中二郡，杀掠数千人，打败汉朝好几名二千石官后方才离去，沿途破坏光禄勋徐自为所筑城墙、要塞、亭遂等；又派右贤王侵入酒泉、张掖二郡，掳掠数千人
会军正任文击救，尽复失所得而去	正好汉军军正任文率兵前来救援，右贤王兵败，丧失了全部掳掠所得后退走
是岁，睢阳侯张昌坐为太常乏祠，国除	这一年，睢阳侯张昌被指控身为太常官，掌管祭祀事务有不到之处，被废除封爵食邑
秋，起明光宫	秋季，汉武帝兴建明光宫
冬，上行幸回中	冬季，汉武帝巡游回中地区
上嘉匈奴单于之义，遣中郎将苏武送匈奴使留在汉者，因厚赂单于，答其善意	汉武帝嘉许匈奴单于的义举，派中郎将苏武将留在汉朝的匈奴使臣送回匈奴，顺便携带厚礼，答谢匈奴单于的好意
武与副中郎将张胜及假吏常惠等俱，既至匈奴，置币遗单于	苏武与副使中郎将张胜及暂时充任使团官吏的常惠等一同前往，到达匈奴后，将礼品送给单于
单于益骄，非汉所望也	单于却更加骄横，不是汉朝原来所希望的样子
天雨白牦	天空降下硬而弯曲的白毛
夏，大旱	夏季，大旱
五月，赦天下	五月，大赦天下
发谪戍屯五原	征发贬谪有罪的人到五原郡屯垦戍边
浞野侯赵破奴自匈奴亡归	浞野侯赵破奴从匈奴逃回汉朝
是岁，济南太守王卿为御史大夫	这一年，济南太守王卿被任命为御史大夫
	二年(壬午、前99)
春，上行幸东海	春季，汉武帝巡游东海郡
还幸回中	在回京途中巡游回中
春，二月，王卿有罪自杀，以执金吾杜周为御史大夫	春季，二月，王卿因罪自杀，汉武帝任命执金吾杜周为御史大夫
初榷酒酤	开始实行酒类专卖
三月，上行幸泰山，修封，祀明堂，因受计	三月，汉武帝巡游泰山，扩建祭天神坛，祭祀于明堂，并在此接受各郡、国的户籍、财政簿册
还，祠常山，玄玉	回京途中，祭祀于常山，并将黑色玉石埋于祭坛之下
方士之候祠神人、入海求蓬莱者终无有验，而公孙卿犹以大人迹为解，天子益怠厌方士之怪迂语矣；然犹羁縻不绝，冀遇其真	方士们在各地等候神仙降临和入海寻找蓬莱山等始终没有结果，而公孙卿仍以所谓巨人的足印进行辩解，从而使汉武帝对方士们的奇谈怪论日益厌倦，但仍与他们保持联系，并不禁绝，希望能遇到真有本领的人
自此之后，方士言神祠者弥众，然其效可睹矣	从此以后，方士们谈论神灵之事的虽更加众多，但其效果是可想而知了
夏，四月，大旱	夏季，四月，大旱
赦天下	大赦天下
秋，匈奴入雁门	秋季，匈奴侵入雁门
太守坐畏弃市	雁门太守因畏缩惧敌被朝廷处死
	四年(甲申、前97)
春，正月，朝诸侯王于甘泉宫	春季，正月，汉武帝在甘泉宫接受各诸侯王的朝见
发天下七科谪及勇敢士，遣贰师将军李广利将骑六万、步兵七万出朔方；强弩都尉路博德将万余人与贰师会；游击将军韩说将步兵三万人出五原；因杆将军公孙敖将骑万、步兵三万人出雁门	汉武帝征发全国贱民七科谪和勇敢之士，派贰师将军李广利率骑兵六万、步兵七万自朔方出塞，强弩都尉路博德率一万余人与李广利会合，游击将军韩说率步兵三万自五原出塞，因杆将军公孙敖率骑兵一万、步兵三万自雁门出塞，袭击匈奴
